time,202511141253
dataset,cifar10
model,resnet18
batch_size,128
epochs,200
learning_rate,0.05
no_cuda,False
seed,2020
kernel,3
bias,False
reduction,2.0
groups,2
dropout,0.2
note,
train_aug,crop
linear,False
head,mlp
""
epoch,train_loss,train_acc,test_acc,adv_acc,rot_acc
0,,0.19788,0.2225,0.2232,0.48632
1,,0.25884,0.2242,0.2226,0.58098
2,,0.2908,0.2738,0.2744,0.60958
3,,0.3108,0.2781,0.2778,0.64148
4,,0.33256,0.3086,0.3065,0.67224
5,,0.36254,0.327,0.3143,0.69346
6,,0.38444,0.3427,0.3399,0.71982
7,,0.39838,0.3868,0.3614,0.73716
8,,0.4165,0.3899,0.3756,0.7519
9,,0.43042,0.403,0.3727,0.76904
10,,0.43888,0.397,0.3616,0.7809
11,,0.45204,0.4243,0.3733,0.78838
12,,0.45736,0.463,0.3865,0.79756
13,,0.46638,0.4616,0.3961,0.80324
14,,0.47162,0.4542,0.3658,0.8109
15,,0.47816,0.4642,0.4019,0.81948
16,,0.48726,0.4709,0.3513,0.82132
17,,0.48728,0.4742,0.4098,0.82798
18,,0.49248,0.4806,0.3713,0.83272
19,,0.49388,0.4215,0.3508,0.83804
20,,0.49816,0.4563,0.4522,0.8424
21,,0.4974,0.4798,0.4308,0.84598
22,,0.49934,0.4887,0.4337,0.84786
23,,0.49744,0.5033,0.4238,0.85186
24,,0.50446,0.5049,0.4472,0.85488
25,,0.5086,0.4987,0.3268,0.85688
26,,0.50708,0.4874,0.4054,0.85896
27,,0.512,0.5291,0.4466,0.86034
28,,0.51204,0.5051,0.4166,0.86324
29,,0.51396,0.5171,0.4085,0.86612
30,,0.51774,0.486,0.4601,0.86796
31,,0.51734,0.457,0.4072,0.86822
32,,0.52004,0.5286,0.3555,0.87078
33,,0.51774,0.5144,0.4468,0.87296
34,,0.51714,0.5125,0.3781,0.87332
35,,0.51742,0.5149,0.419,0.87552
36,,0.52118,0.5203,0.3756,0.8774
37,,0.52002,0.4898,0.3184,0.88016
38,,0.51804,0.4724,0.4436,0.87836
39,,0.52526,0.5263,0.3815,0.88128
40,,0.51996,0.5085,0.3783,0.8818
41,,0.52744,0.5107,0.4142,0.88222
42,,0.52848,0.5128,0.4282,0.88402
43,,0.52474,0.4907,0.415,0.88562
44,,0.52826,0.4801,0.4713,0.88494
45,,0.52986,0.5301,0.4479,0.88602
46,,0.52902,0.5561,0.4541,0.887
47,,0.52868,0.521,0.3729,0.88974
48,,0.5329,0.5174,0.4427,0.88796
49,,0.53146,0.5131,0.4566,0.88724
50,,0.53368,0.5051,0.4217,0.89
51,,0.53292,0.5165,0.4136,0.88978
52,,0.53272,0.5445,0.4891,0.89068
53,,0.52754,0.483,0.4585,0.89152
54,,0.53768,0.5511,0.398,0.89074
55,,0.53426,0.5325,0.4719,0.89094
56,,0.53332,0.5557,0.4539,0.89322
57,,0.5337,0.5363,0.4684,0.89444
58,,0.53658,0.5489,0.4443,0.89316
59,,0.53928,0.544,0.5128,0.89584
60,,0.56482,0.5912,0.4861,0.93528
61,,0.57356,0.583,0.5138,0.94966
62,,0.57364,0.5879,0.5068,0.95548
63,,0.57276,0.5819,0.5011,0.9588
64,,0.57026,0.5844,0.5132,0.96238
65,,0.56836,0.5788,0.4903,0.96588
66,,0.56356,0.5806,0.5042,0.96684
67,,0.5641,0.5761,0.4974,0.9677
68,,0.56154,0.5782,0.4894,0.96886
69,,0.5644,0.5695,0.5059,0.9722
70,,0.56026,0.571,0.4918,0.9708
71,,0.55772,0.5628,0.4824,0.97168
72,,0.55548,0.5682,0.4861,0.97096
73,,0.5578,0.5726,0.505,0.97304
74,,0.55412,0.5487,0.4927,0.97194
75,,0.55254,0.5575,0.4886,0.97226
76,,0.54672,0.5624,0.4683,0.97298
77,,0.54556,0.5474,0.4864,0.97018
78,,0.54512,0.5453,0.4911,0.97174
79,,0.54832,0.565,0.4817,0.97194
80,,0.54682,0.5548,0.4649,0.9716
81,,0.54594,0.5377,0.4143,0.97204
82,,0.54394,0.5594,0.4682,0.97008
83,,0.54032,0.5549,0.4672,0.97
84,,0.54302,0.5562,0.4844,0.97296
85,,0.54142,0.5385,0.4841,0.97052
86,,0.5431,0.5527,0.4471,0.97216
87,,0.54572,0.5401,0.4498,0.97
88,,0.54178,0.5495,0.4539,0.97026
89,,0.54244,0.5538,0.4845,0.97048
90,,0.53464,0.546,0.4602,0.97086
91,,0.53926,0.5504,0.4207,0.97144
92,,0.53706,0.5378,0.4343,0.9689
93,,0.53452,0.5284,0.438,0.97068
94,,0.53288,0.554,0.462,0.97132
95,,0.53404,0.5397,0.4567,0.96938
96,,0.5265,0.5492,0.4756,0.96986
97,,0.52748,0.5528,0.474,0.96952
98,,0.53492,0.5385,0.4644,0.97152
99,,0.52888,0.5238,0.4795,0.96952
100,,0.52884,0.5473,0.4542,0.97112
101,,0.52912,0.5246,0.4659,0.97002
102,,0.52912,0.5366,0.4607,0.97032
103,,0.53176,0.5396,0.457,0.9702
104,,0.53188,0.5356,0.4474,0.97006
105,,0.52864,0.5427,0.4281,0.97072
106,,0.52862,0.5379,0.4751,0.97044
107,,0.52962,0.5318,0.4128,0.97152
108,,0.53158,0.5309,0.4481,0.97126
109,,0.53442,0.5425,0.4451,0.97104
110,,0.52854,0.5488,0.4671,0.97116
111,,0.52664,0.5398,0.4293,0.97122
112,,0.52868,0.5262,0.4137,0.97148
113,,0.52948,0.5395,0.4319,0.9696
114,,0.53358,0.5421,0.4739,0.97256
115,,0.53242,0.5445,0.4467,0.97246
116,,0.52862,0.5303,0.4511,0.97046
117,,0.52962,0.5377,0.4879,0.97042
118,,0.52952,0.5369,0.472,0.97164
119,,0.52992,0.5363,0.4636,0.97234
120,,0.54046,0.5454,0.473,0.98648
121,,0.54684,0.5556,0.4718,0.99146
122,,0.54322,0.5481,0.4757,0.99268
123,,0.54506,0.5556,0.4722,0.99452
124,,0.54524,0.5455,0.4767,0.9949
125,,0.54032,0.5513,0.4823,0.99628
126,,0.54516,0.5499,0.4844,0.9964
127,,0.54212,0.5489,0.4824,0.99654
128,,0.54406,0.5503,0.4763,0.99764
129,,0.54336,0.5444,0.4731,0.99728
130,,0.54202,0.5473,0.4821,0.99776
131,,0.54412,0.5472,0.4764,0.99812
132,,0.54338,0.5432,0.4756,0.99804
133,,0.54344,0.55,0.4863,0.99838
134,,0.54176,0.5487,0.4855,0.99818
135,,0.53784,0.5428,0.4759,0.9984
136,,0.54,0.538,0.4703,0.9988
137,,0.53848,0.5394,0.4751,0.9986
138,,0.53818,0.5398,0.47,0.99886
139,,0.54174,0.5455,0.4784,0.99868
140,,0.5422,0.5456,0.4805,0.9988
141,,0.54228,0.5463,0.4691,0.99892
142,,0.5437,0.5433,0.4718,0.99932
143,,0.54012,0.5412,0.4807,0.99872
144,,0.5392,0.5352,0.4705,0.99864
145,,0.53894,0.5458,0.474,0.99888
146,,0.54462,0.5442,0.4713,0.99906
147,,0.5419,0.5404,0.4641,0.99944
148,,0.54242,0.542,0.4692,0.9993
149,,0.53988,0.546,0.4622,0.9991
150,,0.54094,0.543,0.4753,0.9992
151,,0.5402,0.5498,0.4661,0.9994
152,,0.54244,0.5505,0.4683,0.99932
153,,0.54434,0.5434,0.4709,0.9994
154,,0.54176,0.5506,0.4753,0.99938
155,,0.54076,0.5454,0.4802,0.99934
156,,0.53964,0.5456,0.4704,0.99952
157,,0.54258,0.5371,0.4812,0.9996
158,,0.54474,0.5433,0.4786,0.99944
159,,0.5372,0.5422,0.4668,0.99946
160,,0.54092,0.5435,0.4627,0.99954
161,,0.54042,0.5449,0.4722,0.99962
162,,0.53616,0.5413,0.469,0.99972
163,,0.54112,0.5439,0.477,0.9995
164,,0.54458,0.5438,0.4725,0.99974
165,,0.5422,0.5454,0.4713,0.99958
166,,0.54268,0.546,0.4759,0.99974
167,,0.5415,0.5455,0.4676,0.99978
