time,202511141253_probe
dataset,cifar10
model,resnet18
batch_size,128
epochs,200
learning_rate,0.05
no_cuda,False
seed,2020
kernel,3
bias,False
reduction,2.0
groups,2
dropout,0.2
note,
train_aug,none
linear,False
head,mlp
""
epoch,train_loss,train_acc,test_acc,adv_acc,rot_acc
0,,0.288,0.3754,0.3455,
1,,0.40052,0.4335,0.378,
2,,0.43646,0.479,0.4203,
3,,0.45804,0.458,0.3981,
4,,0.47446,0.491,0.4308,
5,,0.48622,0.4985,0.4259,
6,,0.49602,0.5042,0.4366,
7,,0.49836,0.5116,0.4379,
8,,0.50442,0.5215,0.4298,
9,,0.50892,0.5162,0.4442,
10,,0.51262,0.5116,0.4421,
11,,0.51588,0.523,0.4236,
12,,0.51718,0.5178,0.4668,
13,,0.52048,0.5408,0.4531,
14,,0.52414,0.5416,0.4488,
15,,0.52376,0.5334,0.4483,
16,,0.52238,0.5419,0.4471,
17,,0.52576,0.5281,0.4497,
18,,0.52724,0.5392,0.4525,
19,,0.52628,0.5369,0.4615,
20,,0.5296,0.5302,0.4688,
21,,0.5296,0.5156,0.4434,
22,,0.5301,0.5483,0.4602,
23,,0.5314,0.5341,0.4713,
24,,0.53236,0.5299,0.4437,
25,,0.5326,0.5409,0.4749,
26,,0.53276,0.5306,0.483,
27,,0.53164,0.5553,0.4595,
28,,0.53336,0.5467,0.4631,
29,,0.53358,0.5359,0.4534,
30,,0.53604,0.5313,0.4666,
31,,0.53314,0.5194,0.456,
32,,0.53622,0.5227,0.4445,
33,,0.53404,0.5274,0.4387,
34,,0.53576,0.5477,0.4608,
35,,0.53354,0.5359,0.4712,
36,,0.5355,0.5469,0.4552,
37,,0.5336,0.5409,0.463,
38,,0.53424,0.5476,0.4718,
39,,0.53562,0.5499,0.4569,
40,,0.53278,0.5305,0.4482,
41,,0.53374,0.543,0.4774,
42,,0.53258,0.5338,0.4533,
43,,0.53368,0.5495,0.4742,
44,,0.5343,0.5457,0.4611,
45,,0.5384,0.5482,0.478,
46,,0.5327,0.5473,0.4692,
47,,0.53618,0.545,0.4697,
48,,0.53636,0.5395,0.4593,
49,,0.5362,0.5353,0.4668,
50,,0.53448,0.5485,0.4716,
51,,0.53568,0.54,0.459,
52,,0.53574,0.5446,0.4478,
53,,0.53328,0.5465,0.4499,
54,,0.53738,0.5418,0.46,
55,,0.5354,0.544,0.4602,
56,,0.53436,0.555,0.4707,
57,,0.53396,0.5351,0.4642,
58,,0.53616,0.4878,0.4362,
59,,0.5344,0.5275,0.4539,
60,,0.54876,0.5584,0.4722,
61,,0.54924,0.5576,0.4762,
62,,0.54972,0.5491,0.4681,
63,,0.5475,0.5573,0.4711,
64,,0.54952,0.5538,0.472,
65,,0.54806,0.5533,0.4754,
66,,0.5496,0.5492,0.4692,
67,,0.54678,0.5581,0.4786,
68,,0.55164,0.5566,0.4701,
69,,0.55286,0.5483,0.4729,
70,,0.54958,0.5399,0.4699,
71,,0.55054,0.5478,0.4726,
72,,0.55238,0.5604,0.4735,
73,,0.55126,0.5573,0.4653,
74,,0.55044,0.5542,0.4709,
75,,0.55144,0.5497,0.4665,
76,,0.5474,0.5514,0.4745,
77,,0.549,0.5566,0.4695,
78,,0.55112,0.5509,0.467,
79,,0.5485,0.554,0.4723,
80,,0.5506,0.5552,0.4796,
81,,0.54808,0.557,0.4607,
82,,0.54894,0.5534,0.4752,
83,,0.5497,0.5504,0.4655,
84,,0.5499,0.5505,0.4695,
85,,0.55018,0.5502,0.4758,
86,,0.54984,0.5554,0.4768,
87,,0.55332,0.5528,0.4615,
88,,0.55128,0.5552,0.4682,
89,,0.5468,0.5537,0.465,
90,,0.55044,0.5473,0.4755,
91,,0.54986,0.556,0.467,
92,,0.5509,0.5417,0.4745,
93,,0.55032,0.5522,0.4758,
94,,0.55236,0.5558,0.466,
95,,0.54916,0.5575,0.4643,
96,,0.5485,0.5495,0.4763,
97,,0.54888,0.5453,0.4661,
98,,0.55086,0.5476,0.472,
99,,0.54862,0.5542,0.4744,
100,,0.5506,0.5565,0.4773,
101,,0.5483,0.5565,0.4583,
102,,0.5475,0.559,0.465,
103,,0.5502,0.5512,0.4569,
104,,0.55212,0.5499,0.4659,
105,,0.55016,0.5526,0.474,
106,,0.5469,0.55,0.4619,
107,,0.54878,0.5533,0.4746,
108,,0.5495,0.5572,0.4699,
109,,0.551,0.5494,0.4699,
110,,0.5498,0.5513,0.4693,
111,,0.55368,0.5504,0.461,
112,,0.55134,0.5551,0.4721,
113,,0.55006,0.551,0.4622,
114,,0.54824,0.5535,0.4684,
115,,0.54774,0.5569,0.4679,
116,,0.54902,0.5592,0.4754,
117,,0.54732,0.5556,0.4606,
118,,0.55302,0.5529,0.4749,
119,,0.55048,0.5472,0.4735,
120,,0.55054,0.554,0.4747,
121,,0.55268,0.5567,0.4693,
122,,0.55604,0.5536,0.4648,
123,,0.55182,0.5526,0.4713,
124,,0.55552,0.558,0.4705,
125,,0.55308,0.5518,0.4593,
126,,0.553,0.5534,0.4643,
127,,0.55146,0.5486,0.4744,
128,,0.55414,0.5537,0.4736,
129,,0.55096,0.5562,0.47,
130,,0.5534,0.5533,0.4805,
131,,0.5523,0.5559,0.4639,
132,,0.55396,0.5502,0.479,
133,,0.55534,0.5568,0.4668,
134,,0.55304,0.5539,0.4712,
135,,0.55058,0.5546,0.4786,
136,,0.55238,0.5544,0.4748,
137,,0.55444,0.5539,0.4701,
138,,0.5548,0.5548,0.478,
139,,0.55158,0.5538,0.4745,
140,,0.5537,0.5541,0.4758,
141,,0.55238,0.5542,0.4791,
142,,0.55364,0.5531,0.4701,
143,,0.55412,0.5555,0.4682,
144,,0.55452,0.5586,0.475,
145,,0.55362,0.5563,0.4681,
146,,0.55438,0.553,0.4738,
147,,0.55502,0.5545,0.4655,
148,,0.55432,0.5548,0.4792,
149,,0.55384,0.5552,0.4739,
150,,0.55528,0.5576,0.4745,
151,,0.55306,0.558,0.4598,
