time,202511141253
dataset,cifar10
model,C4resnet18
batch_size,128
epochs,200
learning_rate,0.05
no_cuda,False
seed,2020
kernel,3
bias,False
reduction,2.0
groups,2
dropout,0.2
note,
train_aug,crop
linear,False
head,mlp
""
epoch,train_loss,train_acc,test_acc,adv_acc,rot_acc
0,,0.13848,0.1967,0.1963,0.40594
1,,0.18984,0.1945,0.1934,0.54954
2,,0.23682,0.2309,0.2271,0.58896
3,,0.25296,0.2566,0.2572,0.63254
4,,0.28194,0.2597,0.2496,0.68408
5,,0.33414,0.2939,0.298,0.74704
6,,0.40632,0.4362,0.4315,0.79422
7,,0.46608,0.4154,0.3898,0.82684
8,,0.49278,0.5053,0.4376,0.85264
9,,0.53172,0.5643,0.5166,0.8802
10,,0.54268,0.5231,0.5225,0.88516
11,,0.5751,0.586,0.538,0.90766
12,,0.5869,0.5526,0.4436,0.92552
13,,0.59812,0.5689,0.3965,0.9336
14,,0.6077,0.5907,0.4832,0.94302
15,,0.61238,0.5505,0.5267,0.94886
16,,0.62538,0.6152,0.537,0.9574
17,,0.6244,0.5978,0.5766,0.9583
18,,0.62602,0.5971,0.513,0.96212
19,,0.63786,0.5824,0.5194,0.96446
20,,0.64242,0.6386,0.5987,0.96714
21,,0.64724,0.515,0.4758,0.96646
22,,0.64452,0.6356,0.5773,0.96832
23,,0.64922,0.6426,0.5629,0.96806
24,,0.65438,0.618,0.5367,0.97334
25,,0.65684,0.6564,0.5884,0.97252
26,,0.6589,0.6427,0.5483,0.97144
27,,0.66334,0.5951,0.5,0.97346
28,,0.66916,0.6533,0.5554,0.97254
29,,0.6704,0.6642,0.5998,0.9744
30,,0.67178,0.656,0.5733,0.9747
31,,0.67918,0.6638,0.6014,0.97634
32,,0.67668,0.6471,0.5726,0.97646
33,,0.67496,0.6437,0.5702,0.97384
34,,0.67816,0.672,0.5864,0.97572
35,,0.68262,0.6837,0.5978,0.97608
36,,0.68438,0.6631,0.5623,0.97682
37,,0.68624,0.6635,0.5597,0.97734
38,,0.68792,0.6583,0.6138,0.97712
39,,0.68222,0.6529,0.5727,0.97586
40,,0.68552,0.6514,0.5585,0.97732
41,,0.68664,0.6576,0.6147,0.97716
42,,0.6824,0.6375,0.5721,0.97846
43,,0.68634,0.6694,0.5978,0.97764
44,,0.6913,0.6469,0.5008,0.9772
45,,0.69442,0.6804,0.5797,0.97956
46,,0.69444,0.6811,0.6329,0.97898
47,,0.69542,0.6776,0.6087,0.97696
48,,0.70036,0.6875,0.5926,0.9784
49,,0.70324,0.672,0.5833,0.97798
50,,0.6999,0.6449,0.5427,0.97924
51,,0.70148,0.6951,0.6105,0.97902
52,,0.6991,0.6947,0.604,0.97866
53,,0.6989,0.6563,0.5849,0.97866
54,,0.7046,0.6905,0.6179,0.97812
55,,0.70768,0.682,0.612,0.9794
56,,0.7059,0.6489,0.5391,0.97948
57,,0.7039,0.6906,0.5459,0.9792
58,,0.70428,0.6933,0.6046,0.98018
59,,0.70998,0.6186,0.5288,0.9797
60,,0.73816,0.7355,0.6559,0.99436
61,,0.74934,0.7458,0.6583,0.99924
62,,0.75314,0.7467,0.6563,0.99966
63,,0.75432,0.745,0.6525,0.99982
64,,0.7552,0.7433,0.6552,0.99988
65,,0.75634,0.7531,0.6749,0.99976
66,,0.75854,0.7461,0.6414,0.99996
67,,0.76112,0.746,0.6599,0.99998
68,,0.762,0.7459,0.655,0.99996
69,,0.76194,0.7514,0.6788,0.99998
70,,0.76444,0.7504,0.6719,1.0
71,,0.76376,0.748,0.6632,1.0
72,,0.76468,0.7557,0.6755,1.0
73,,0.76604,0.7472,0.6641,1.0
74,,0.76344,0.7525,0.6753,1.0
75,,0.76496,0.7489,0.6631,0.99994
76,,0.76402,0.755,0.6619,0.99994
77,,0.76462,0.7472,0.659,0.99998
78,,0.76532,0.7529,0.6694,1.0
79,,0.76466,0.7531,0.6652,0.99998
80,,0.76592,0.7492,0.656,0.99998
81,,0.76472,0.7543,0.6783,1.0
82,,0.76436,0.7572,0.6658,1.0
83,,0.76586,0.7495,0.6681,1.0
84,,0.76466,0.7514,0.6653,0.99998
85,,0.76348,0.7485,0.6659,1.0
86,,0.76392,0.7447,0.6633,1.0
87,,0.76414,0.7447,0.6585,1.0
88,,0.76226,0.7499,0.67,1.0
89,,0.76118,0.749,0.6599,1.0
90,,0.76236,0.7461,0.6649,1.0
91,,0.7616,0.7503,0.6588,1.0
92,,0.7617,0.7485,0.6608,1.0
93,,0.76048,0.7499,0.6545,1.0
94,,0.75952,0.7455,0.6642,1.0
95,,0.759,0.7491,0.6651,1.0
96,,0.75898,0.7447,0.6654,1.0
97,,0.75648,0.742,0.6607,1.0
98,,0.75778,0.7435,0.6536,1.0
99,,0.7571,0.7405,0.662,1.0
100,,0.75694,0.7428,0.6506,1.0
101,,0.75518,0.7315,0.6465,1.0
102,,0.75406,0.745,0.6744,1.0
103,,0.75312,0.7404,0.6537,1.0
104,,0.75414,0.7425,0.6686,1.0
105,,0.75446,0.739,0.6661,1.0
106,,0.75236,0.7361,0.6542,1.0
107,,0.75178,0.7463,0.6666,1.0
108,,0.75212,0.7315,0.6592,1.0
109,,0.74844,0.7396,0.6476,1.0
110,,0.74838,0.7293,0.6504,1.0
111,,0.74628,0.7307,0.6446,1.0
112,,0.74344,0.7313,0.6426,1.0
113,,0.7444,0.7344,0.6442,0.99998
114,,0.74574,0.7226,0.6421,1.0
115,,0.74296,0.727,0.6341,1.0
116,,0.74314,0.7267,0.6521,1.0
117,,0.74132,0.7315,0.6405,1.0
118,,0.74184,0.734,0.6424,1.0
119,,0.73926,0.7261,0.6443,1.0
120,,0.74468,0.7334,0.6535,1.0
121,,0.74412,0.7338,0.651,1.0
122,,0.74468,0.7326,0.658,1.0
123,,0.7455,0.7327,0.6557,1.0
124,,0.74594,0.7341,0.6524,1.0
125,,0.7437,0.7286,0.6488,1.0
126,,0.7434,0.7329,0.6524,1.0
127,,0.74248,0.7337,0.6512,1.0
128,,0.74342,0.7302,0.6545,1.0
129,,0.7412,0.7276,0.6484,1.0
130,,0.74226,0.7288,0.645,1.0
131,,0.74198,0.7333,0.6517,1.0
132,,0.74248,0.7335,0.6552,1.0
133,,0.74186,0.7334,0.6408,1.0
134,,0.74052,0.7378,0.6523,1.0
135,,0.74168,0.7296,0.6444,1.0
136,,0.742,0.732,0.6549,1.0
137,,0.74034,0.7327,0.6516,1.0
138,,0.74114,0.7282,0.6466,1.0
139,,0.74168,0.7325,0.6515,1.0
140,,0.74048,0.7327,0.6446,1.0
141,,0.74228,0.7331,0.6564,1.0
142,,0.74032,0.7306,0.6472,1.0
143,,0.73996,0.7312,0.6528,1.0
144,,0.73798,0.7295,0.6399,1.0
145,,0.73872,0.7269,0.6467,1.0
146,,0.73992,0.7316,0.6468,1.0
147,,0.73828,0.7317,0.6513,1.0
148,,0.7376,0.726,0.6479,1.0
149,,0.7394,0.7286,0.641,1.0
150,,0.73894,0.7295,0.6411,1.0
151,,0.7385,0.7253,0.6384,1.0
152,,0.73736,0.7327,0.647,1.0
153,,0.73516,0.7267,0.6506,1.0
154,,0.7357,0.7287,0.6443,1.0
155,,0.73548,0.7258,0.6406,1.0
156,,0.7365,0.729,0.6499,1.0
157,,0.736,0.7305,0.6473,1.0
158,,0.73624,0.7216,0.6297,1.0
159,,0.73658,0.7244,0.6293,1.0
160,,0.73652,0.729,0.6386,1.0
161,,0.73678,0.7313,0.6395,1.0
162,,0.73468,0.726,0.6376,1.0
163,,0.73704,0.7288,0.6412,1.0
164,,0.73632,0.7277,0.6365,1.0
165,,0.73676,0.7304,0.6479,1.0
166,,0.7379,0.7301,0.6407,1.0
167,,0.73716,0.7286,0.6437,1.0
168,,0.73618,0.7282,0.6405,1.0
169,,0.73814,0.7286,0.6402,1.0
170,,0.73604,0.7318,0.6455,1.0
171,,0.7362,0.7272,0.6371,1.0
172,,0.73726,0.7267,0.6397,1.0
173,,0.73544,0.7285,0.6406,1.0
174,,0.73706,0.7281,0.6433,1.0
175,,0.73642,0.7295,0.6389,1.0
176,,0.73648,0.7277,0.6379,1.0
177,,0.7348,0.7296,0.6436,1.0
178,,0.73744,0.7307,0.6408,1.0
179,,0.73464,0.7276,0.6394,1.0
180,,0.73624,0.728,0.6457,1.0
181,,0.73524,0.7295,0.6378,1.0
182,,0.73596,0.7273,0.6422,1.0
183,,0.73558,0.7286,0.6439,1.0
184,,0.73738,0.7263,0.6398,1.0
185,,0.73486,0.7282,0.6441,1.0
186,,0.73518,0.7283,0.6433,1.0
187,,0.7349,0.727,0.6398,1.0
188,,0.7348,0.7278,0.6417,1.0
189,,0.7354,0.729,0.6381,1.0
190,,0.73536,0.7278,0.6397,1.0
191,,0.73612,0.7275,0.6395,1.0
192,,0.73414,0.7274,0.6429,1.0
193,,0.7342,0.7281,0.6418,1.0
194,,0.73538,0.7256,0.6386,1.0
195,,0.7359,0.7281,0.6363,1.0
196,,0.73496,0.7292,0.6388,1.0
197,,0.73374,0.7262,0.6407,1.0
198,,0.7352,0.7243,0.6384,1.0
199,,0.73336,0.7272,0.6423,1.0
