time,202511141253_probe
dataset,cifar10
model,C4resnet18
batch_size,128
epochs,200
learning_rate,0.05
no_cuda,False
seed,2020
kernel,3
bias,False
reduction,2.0
groups,2
dropout,0.2
note,
train_aug,none
linear,False
head,mlp
""
epoch,train_loss,train_acc,test_acc,adv_acc,rot_acc
0,,0.51312,0.6298,0.5669,
1,,0.62858,0.6481,0.5744,
2,,0.6558,0.6347,0.6041,
3,,0.66822,0.6974,0.6024,
4,,0.67586,0.6766,0.6168,
5,,0.68274,0.6924,0.6061,
6,,0.6871,0.697,0.6296,
7,,0.69104,0.6797,0.5959,
8,,0.69172,0.6923,0.6093,
9,,0.69454,0.6897,0.5801,
10,,0.69828,0.7089,0.6387,
11,,0.69924,0.6864,0.5975,
12,,0.69854,0.6997,0.6088,
13,,0.69996,0.6901,0.5884,
14,,0.70374,0.7093,0.6443,
15,,0.70082,0.7096,0.6275,
16,,0.70138,0.7024,0.613,
17,,0.7013,0.711,0.6247,
18,,0.70466,0.6965,0.6352,
19,,0.70258,0.7067,0.6287,
20,,0.70658,0.7062,0.6294,
21,,0.70354,0.714,0.6396,
22,,0.70618,0.7052,0.6203,
23,,0.70558,0.714,0.6205,
24,,0.7037,0.6942,0.5978,
25,,0.70552,0.6978,0.6015,
26,,0.70422,0.7096,0.619,
27,,0.70722,0.715,0.6339,
28,,0.70372,0.7085,0.6107,
29,,0.70476,0.6998,0.6209,
30,,0.70656,0.7186,0.6384,
31,,0.7072,0.6948,0.6011,
32,,0.70584,0.7043,0.6359,
33,,0.703,0.7074,0.6292,
34,,0.70512,0.717,0.6376,
35,,0.70378,0.7114,0.6464,
36,,0.70664,0.7123,0.6206,
37,,0.7055,0.719,0.6491,
38,,0.70642,0.6904,0.6279,
39,,0.70434,0.6558,0.5379,
40,,0.70468,0.6969,0.6278,
41,,0.70704,0.7018,0.607,
42,,0.70632,0.7076,0.615,
43,,0.708,0.716,0.6408,
44,,0.7044,0.715,0.6323,
45,,0.70654,0.7092,0.6474,
46,,0.70646,0.6936,0.5945,
47,,0.70708,0.7165,0.6357,
48,,0.70658,0.6917,0.5931,
49,,0.70674,0.686,0.6149,
50,,0.70456,0.7052,0.631,
51,,0.7069,0.7013,0.6048,
52,,0.70674,0.7059,0.6268,
53,,0.7052,0.7144,0.6524,
54,,0.7077,0.713,0.6392,
55,,0.70496,0.6991,0.6132,
56,,0.70656,0.6998,0.6118,
57,,0.70614,0.7105,0.6251,
58,,0.70368,0.7228,0.629,
59,,0.7074,0.6961,0.6267,
60,,0.72624,0.713,0.63,
61,,0.72622,0.719,0.6529,
62,,0.72752,0.7171,0.6452,
63,,0.72594,0.725,0.6365,
64,,0.72628,0.7212,0.6545,
65,,0.72814,0.7226,0.6319,
66,,0.72632,0.715,0.6429,
67,,0.72658,0.7164,0.6319,
68,,0.7271,0.7181,0.6311,
69,,0.72778,0.7258,0.6492,
70,,0.7267,0.7165,0.6481,
71,,0.72512,0.7218,0.6511,
72,,0.725,0.7136,0.6334,
73,,0.72784,0.7227,0.6429,
74,,0.72672,0.7263,0.638,
75,,0.72716,0.7232,0.6473,
76,,0.72522,0.7271,0.6522,
77,,0.72688,0.7183,0.6344,
78,,0.72926,0.7233,0.638,
79,,0.72576,0.7268,0.6422,
80,,0.7266,0.7261,0.6536,
81,,0.72588,0.7161,0.6555,
82,,0.72826,0.7058,0.6136,
83,,0.7276,0.7225,0.6516,
84,,0.72738,0.7205,0.6539,
85,,0.72472,0.7254,0.6491,
86,,0.72684,0.7221,0.6436,
87,,0.72868,0.7242,0.6392,
88,,0.7289,0.7263,0.6404,
89,,0.72686,0.701,0.6067,
90,,0.7268,0.7154,0.6308,
91,,0.72542,0.7289,0.64,
92,,0.72566,0.7214,0.6513,
93,,0.7268,0.7216,0.642,
94,,0.72656,0.7218,0.6522,
95,,0.72878,0.7195,0.6361,
96,,0.72668,0.7277,0.6492,
97,,0.7249,0.726,0.645,
98,,0.72752,0.7281,0.6433,
99,,0.72578,0.721,0.6428,
100,,0.72574,0.7263,0.6469,
101,,0.72608,0.728,0.6433,
102,,0.72824,0.7241,0.6395,
103,,0.72848,0.726,0.6466,
104,,0.72564,0.7189,0.6363,
105,,0.72554,0.7206,0.6352,
106,,0.72534,0.7139,0.6447,
107,,0.72526,0.7254,0.6348,
108,,0.72788,0.7262,0.6427,
109,,0.72744,0.7057,0.6079,
110,,0.7257,0.7164,0.6373,
111,,0.72718,0.7287,0.6465,
112,,0.7246,0.7251,0.6468,
113,,0.72708,0.7153,0.6561,
114,,0.7253,0.7163,0.6362,
115,,0.72508,0.7201,0.6255,
116,,0.72528,0.7229,0.6309,
117,,0.72666,0.7165,0.6361,
118,,0.72664,0.7219,0.6445,
119,,0.7271,0.7231,0.6437,
120,,0.73078,0.7292,0.6453,
121,,0.73304,0.7239,0.6492,
122,,0.7323,0.7242,0.6467,
123,,0.73338,0.7272,0.6453,
124,,0.73218,0.7259,0.6452,
125,,0.73338,0.7249,0.6527,
126,,0.73322,0.7245,0.6411,
127,,0.73312,0.7262,0.6447,
128,,0.73282,0.7219,0.6449,
129,,0.73324,0.7265,0.6461,
130,,0.73408,0.7225,0.6393,
131,,0.73408,0.725,0.6473,
132,,0.73096,0.7242,0.6392,
