time,202511141253
dataset,cifar10
model,resnet18
batch_size,128
epochs,200
learning_rate,0.05
no_cuda,False
seed,2020
kernel,3
bias,False
reduction,2.0
groups,2
dropout,0.2
note,
train_aug,none
linear,False
head,mlp
""
epoch,train_loss,train_acc,test_acc,adv_acc,rot_acc
0,,0.30224,0.3859,0.3396,
1,,0.4027,0.4479,0.3904,
2,,0.43712,0.4213,0.3963,
3,,0.45224,0.4738,0.4097,
4,,0.4677,0.4893,0.4365,
5,,0.48244,0.5139,0.4353,
6,,0.48894,0.5115,0.4506,
7,,0.49644,0.5256,0.4712,
8,,0.49906,0.5018,0.4346,
9,,0.50252,0.5117,0.4591,
10,,0.50982,0.5218,0.4443,
11,,0.51292,0.5231,0.4471,
12,,0.51784,0.5175,0.453,
13,,0.5157,0.5098,0.4604,
14,,0.5216,0.5398,0.4771,
15,,0.52164,0.5281,0.4619,
16,,0.52272,0.524,0.4762,
17,,0.52492,0.5489,0.4652,
18,,0.52374,0.5479,0.4816,
19,,0.52692,0.5439,0.4748,
20,,0.52396,0.5234,0.4762,
21,,0.52792,0.5598,0.4775,
22,,0.53112,0.535,0.4665,
23,,0.5288,0.5515,0.4638,
24,,0.5298,0.5502,0.455,
25,,0.53042,0.543,0.4757,
26,,0.53118,0.5444,0.486,
27,,0.53128,0.5413,0.4861,
