time,202511141253_probe
dataset,cifar10
model,resnet18
batch_size,128
epochs,200
learning_rate,0.05
no_cuda,False
seed,2020
kernel,3
bias,False
reduction,2.0
groups,2
dropout,0.2
note,
train_aug,none
linear,False
head,mlp
""
epoch,train_loss,train_acc,test_acc,adv_acc,rot_acc
0,,0.3028,0.3782,0.3241,
1,,0.40178,0.4411,0.3807,
2,,0.43508,0.4633,0.4047,
3,,0.4583,0.4766,0.4258,
4,,0.4716,0.4873,0.4271,
5,,0.48018,0.5214,0.4504,
6,,0.48786,0.5048,0.4415,
7,,0.49766,0.5008,0.4491,
8,,0.49988,0.5004,0.4526,
9,,0.504,0.5198,0.4493,
10,,0.50758,0.538,0.4652,
11,,0.51178,0.5286,0.4713,
12,,0.51652,0.5354,0.4561,
13,,0.51596,0.5419,0.478,
14,,0.52302,0.5405,0.4667,
15,,0.52396,0.5175,0.4675,
16,,0.5226,0.5277,0.4679,
17,,0.52168,0.5327,0.4811,
18,,0.52238,0.5421,0.4553,
19,,0.5293,0.5303,0.4652,
20,,0.52694,0.536,0.4943,
21,,0.52302,0.5321,0.4739,
22,,0.5312,0.5299,0.4819,
23,,0.52894,0.5588,0.4761,
24,,0.5305,0.558,0.4789,
25,,0.53016,0.5394,0.4796,
26,,0.53136,0.551,0.4919,
27,,0.53156,0.5429,0.4695,
28,,0.52774,0.528,0.4598,
29,,0.53138,0.5578,0.4807,
30,,0.53688,0.549,0.495,
31,,0.53092,0.5535,0.4721,
32,,0.53178,0.5451,0.4846,
33,,0.52942,0.5375,0.4802,
34,,0.53248,0.5493,0.4748,
35,,0.53388,0.5354,0.4675,
36,,0.53282,0.5276,0.4567,
37,,0.5338,0.5544,0.4792,
38,,0.53318,0.5441,0.4887,
39,,0.53032,0.5608,0.4912,
40,,0.53304,0.5472,0.4656,
41,,0.5321,0.545,0.4781,
42,,0.5322,0.5444,0.4841,
43,,0.533,0.5538,0.4916,
44,,0.53294,0.548,0.4568,
45,,0.53564,0.5499,0.4899,
46,,0.53388,0.5525,0.4709,
47,,0.53408,0.5321,0.4642,
48,,0.5334,0.5461,0.4779,
