time,202511141253
dataset,cifar10
model,C4resnet18
batch_size,128
epochs,200
learning_rate,0.05
no_cuda,False
seed,2020
kernel,3
bias,False
reduction,2.0
groups,2
dropout,0.2
note,
train_aug,none
linear,False
head,mlp
""
epoch,train_loss,train_acc,test_acc,adv_acc,rot_acc
0,,0.1474,0.1991,0.199,0.4245
1,,0.215,0.251,0.2503,0.58562
2,,0.24132,0.3155,0.3185,0.63838
3,,0.31434,0.3177,0.3114,0.7195
4,,0.386,0.4194,0.3781,0.78102
5,,0.45592,0.5015,0.4587,0.83392
6,,0.48312,0.402,0.3227,0.85546
7,,0.50542,0.4991,0.3907,0.8743
8,,0.53862,0.5268,0.4905,0.8961
9,,0.55912,0.5546,0.4876,0.90882
10,,0.57582,0.5013,0.4585,0.92676
11,,0.5835,0.5944,0.501,0.93788
12,,0.60074,0.6018,0.5309,0.95066
13,,0.61066,0.5925,0.5489,0.9567
14,,0.61814,0.5833,0.5357,0.9586
15,,0.62382,0.61,0.5316,0.96114
16,,0.63108,0.6414,0.5778,0.96456
17,,0.63044,0.6149,0.5581,0.96678
18,,0.63184,0.587,0.4772,0.96818
19,,0.64054,0.6209,0.5292,0.97062
20,,0.64244,0.6024,0.5517,0.97012
21,,0.64584,0.6074,0.5243,0.97136
22,,0.65058,0.6273,0.541,0.97312
23,,0.65216,0.6126,0.5307,0.97302
24,,0.65448,0.6445,0.5499,0.97326
25,,0.65566,0.6261,0.5223,0.97418
26,,0.66114,0.6141,0.4196,0.97428
27,,0.664,0.6497,0.555,0.97264
28,,0.66872,0.6518,0.5733,0.97486
29,,0.66716,0.6542,0.6102,0.97556
30,,0.67266,0.6182,0.564,0.97696
31,,0.671,0.6064,0.5403,0.97686
32,,0.66818,0.614,0.5218,0.97682
33,,0.66558,0.6449,0.6183,0.97594
34,,0.67598,0.6201,0.5404,0.97684
35,,0.6736,0.6513,0.5991,0.9764
36,,0.67686,0.6279,0.4771,0.9774
37,,0.6812,0.6086,0.5505,0.97718
38,,0.67762,0.6184,0.5365,0.9766
39,,0.68256,0.6373,0.5261,0.97888
40,,0.679,0.6819,0.611,0.97744
41,,0.67912,0.6626,0.612,0.97774
42,,0.67768,0.6386,0.5878,0.97786
43,,0.67752,0.6617,0.4663,0.97822
44,,0.68302,0.669,0.6068,0.9782
45,,0.6855,0.6324,0.5112,0.97812
46,,0.68608,0.6363,0.5675,0.97832
47,,0.68624,0.6577,0.5899,0.97746
48,,0.69412,0.663,0.5946,0.98058
49,,0.69234,0.671,0.6169,0.97912
50,,0.69136,0.6733,0.591,0.97866
51,,0.69244,0.6331,0.5515,0.9794
52,,0.6952,0.6433,0.6154,0.97996
53,,0.69426,0.6686,0.6302,0.97794
54,,0.6956,0.6551,0.5675,0.97992
55,,0.69706,0.6377,0.5885,0.97874
56,,0.69586,0.6861,0.6107,0.9794
57,,0.69822,0.67,0.6028,0.98034
58,,0.7007,0.6922,0.6238,0.97968
59,,0.6999,0.6647,0.5641,0.98002
60,,0.73356,0.7317,0.6505,0.99526
61,,0.74576,0.7384,0.6622,0.99944
62,,0.74914,0.7357,0.6695,0.99964
63,,0.75036,0.7362,0.6472,0.99976
64,,0.75286,0.7445,0.6679,0.99994
65,,0.75488,0.7427,0.6494,0.99988
66,,0.75498,0.7437,0.6633,0.99992
67,,0.75558,0.7408,0.6532,1.0
68,,0.75878,0.7456,0.6563,0.99994
69,,0.75744,0.7411,0.6484,1.0
70,,0.75874,0.7431,0.6593,1.0
71,,0.75734,0.75,0.6608,0.99996
72,,0.75712,0.7412,0.6634,1.0
73,,0.7588,0.7461,0.6535,0.99998
74,,0.76066,0.7464,0.6576,0.99996
75,,0.7588,0.7469,0.6599,1.0
76,,0.75944,0.7494,0.6726,1.0
77,,0.75838,0.7417,0.648,1.0
78,,0.76044,0.7495,0.676,0.99998
79,,0.7591,0.7446,0.6593,1.0
80,,0.75882,0.7498,0.6604,1.0
81,,0.7599,0.7424,0.6425,1.0
82,,0.75758,0.7448,0.6569,1.0
83,,0.7587,0.7459,0.6599,1.0
84,,0.75746,0.7475,0.6654,1.0
85,,0.75632,0.7466,0.6646,1.0
86,,0.75728,0.7453,0.6506,1.0
87,,0.75946,0.745,0.6568,1.0
88,,0.75598,0.7431,0.6471,1.0
89,,0.75588,0.7412,0.6573,1.0
90,,0.75594,0.7425,0.6585,1.0
91,,0.75532,0.7442,0.6577,1.0
92,,0.7557,0.7459,0.6578,1.0
93,,0.75486,0.7418,0.6608,1.0
94,,0.75354,0.7404,0.6676,1.0
95,,0.75394,0.7392,0.6526,1.0
96,,0.75178,0.7419,0.6698,1.0
97,,0.75252,0.7393,0.6647,1.0
98,,0.7513,0.741,0.654,1.0
99,,0.75178,0.7357,0.6531,1.0
100,,0.75186,0.7415,0.6742,1.0
101,,0.75024,0.7362,0.6568,1.0
102,,0.75076,0.7304,0.6563,1.0
103,,0.75076,0.7304,0.6347,1.0
104,,0.74962,0.7401,0.6605,1.0
105,,0.74674,0.7373,0.6631,1.0
106,,0.74734,0.7267,0.6458,1.0
107,,0.74768,0.7324,0.6501,1.0
108,,0.74848,0.7347,0.6449,1.0
109,,0.74538,0.7349,0.6394,1.0
110,,0.74404,0.7314,0.6443,1.0
111,,0.7454,0.7286,0.6333,1.0
112,,0.7427,0.7343,0.6486,1.0
113,,0.7422,0.7234,0.6318,1.0
114,,0.74246,0.7203,0.6413,1.0
115,,0.73902,0.7237,0.636,1.0
116,,0.73974,0.7189,0.6335,1.0
117,,0.73852,0.7182,0.6446,1.0
118,,0.73714,0.7241,0.6355,1.0
119,,0.73602,0.7168,0.6359,1.0
120,,0.74076,0.7241,0.6559,1.0
121,,0.74126,0.7226,0.6459,1.0
122,,0.74044,0.7261,0.657,1.0
123,,0.74014,0.7254,0.6533,1.0
124,,0.74058,0.7234,0.6452,1.0
125,,0.74052,0.7217,0.6437,1.0
126,,0.73948,0.7235,0.6478,1.0
127,,0.73988,0.7227,0.6435,1.0
128,,0.73944,0.723,0.6432,1.0
129,,0.73896,0.7231,0.6488,1.0
130,,0.7395,0.7232,0.6487,1.0
131,,0.73878,0.7208,0.6387,1.0
132,,0.73948,0.7251,0.6532,1.0
133,,0.73572,0.7196,0.645,1.0
134,,0.73826,0.7138,0.6452,1.0
135,,0.738,0.7214,0.6458,1.0
136,,0.7364,0.718,0.6437,1.0
137,,0.73804,0.7208,0.6524,1.0
138,,0.73826,0.7205,0.6401,1.0
139,,0.73652,0.722,0.648,1.0
140,,0.73726,0.7185,0.6408,1.0
141,,0.73628,0.7212,0.6457,1.0
142,,0.73686,0.7207,0.6439,1.0
143,,0.73656,0.7191,0.6435,1.0
144,,0.73584,0.7195,0.6491,1.0
145,,0.73628,0.7191,0.6432,1.0
146,,0.73602,0.7155,0.6367,1.0
147,,0.7331,0.7191,0.6452,1.0
148,,0.73412,0.7174,0.6391,1.0
149,,0.73402,0.7174,0.6347,1.0
150,,0.73448,0.7213,0.6429,1.0
151,,0.73536,0.7194,0.6455,1.0
152,,0.73386,0.7144,0.6364,1.0
