time,202511141253_probe
dataset,cifar10
model,C4resnet18
batch_size,128
epochs,200
learning_rate,0.05
no_cuda,False
seed,2020
kernel,3
bias,False
reduction,2.0
groups,2
dropout,0.2
note,
train_aug,none
linear,False
head,mlp
""
epoch,train_loss,train_acc,test_acc,adv_acc,rot_acc
0,,0.5086,0.6094,0.5169,
1,,0.62512,0.6563,0.5873,
2,,0.65162,0.6403,0.5774,
3,,0.6655,0.6665,0.5741,
4,,0.6728,0.6377,0.5692,
5,,0.68146,0.6752,0.615,
6,,0.68218,0.6795,0.6182,
7,,0.6883,0.6723,0.5767,
8,,0.68884,0.6741,0.5815,
9,,0.68886,0.6821,0.601,
10,,0.69368,0.6821,0.5937,
11,,0.6946,0.6894,0.6329,
12,,0.69762,0.6814,0.5948,
13,,0.698,0.689,0.6187,
14,,0.70012,0.6906,0.6256,
15,,0.69912,0.7028,0.6232,
16,,0.69866,0.6667,0.579,
17,,0.69946,0.6987,0.6099,
18,,0.70156,0.7078,0.6429,
19,,0.69984,0.7018,0.6332,
20,,0.70116,0.7052,0.6447,
21,,0.70124,0.6816,0.6023,
22,,0.70262,0.707,0.6476,
23,,0.7,0.7043,0.6192,
24,,0.70264,0.6968,0.6155,
25,,0.6997,0.6756,0.6197,
26,,0.7007,0.6645,0.562,
27,,0.70112,0.6945,0.6212,
28,,0.70122,0.6737,0.5745,
29,,0.70218,0.6824,0.606,
30,,0.70086,0.6892,0.6104,
31,,0.7018,0.6888,0.5836,
32,,0.70398,0.685,0.6078,
33,,0.70224,0.6598,0.6106,
34,,0.70224,0.6801,0.6102,
35,,0.70144,0.6834,0.6056,
36,,0.70354,0.6762,0.6233,
37,,0.70206,0.7086,0.6485,
38,,0.70232,0.6773,0.5929,
39,,0.69944,0.7046,0.6351,
40,,0.7005,0.6401,0.5822,
41,,0.70054,0.6941,0.6157,
42,,0.70164,0.6929,0.6214,
43,,0.70334,0.6927,0.592,
44,,0.7025,0.7118,0.6372,
45,,0.70276,0.6775,0.6074,
46,,0.70558,0.6955,0.6268,
47,,0.70214,0.6954,0.6188,
48,,0.70354,0.69,0.601,
49,,0.70244,0.6669,0.5968,
50,,0.7035,0.7037,0.6195,
