time,202511141253
dataset,cifar10
model,resnet18
batch_size,128
epochs,200
learning_rate,0.05
no_cuda,False
seed,2020
kernel,3
bias,False
reduction,2.0
groups,2
dropout,0.2
note,
train_aug,simclr
linear,False
head,mlp
""
epoch,train_loss,train_acc,test_acc,adv_acc,rot_acc
0,,0.15672,0.2048,0.2052,0.39654
1,,0.18966,0.2579,0.2573,0.4368
2,,0.20894,0.2413,0.2411,0.44618
3,,0.21998,0.21,0.2091,0.463
4,,0.23418,0.2489,0.2502,0.48266
5,,0.23802,0.2776,0.2745,0.5041
6,,0.25426,0.291,0.2923,0.52134
7,,0.27042,0.2249,0.223,0.53188
8,,0.28154,0.347,0.3461,0.5377
9,,0.29006,0.3131,0.3104,0.54984
10,,0.30136,0.2515,0.2437,0.56066
11,,0.31432,0.2893,0.2844,0.56772
12,,0.32152,0.2875,0.2774,0.5725
13,,0.32618,0.3318,0.3285,0.5823
14,,0.33442,0.3769,0.3732,0.58818
15,,0.34262,0.367,0.36,0.59012
16,,0.34742,0.334,0.3332,0.59602
17,,0.34616,0.4048,0.3933,0.59856
18,,0.3536,0.3395,0.3278,0.60392
19,,0.35288,0.4021,0.394,0.60636
20,,0.3612,0.3998,0.3848,0.60868
21,,0.36282,0.3924,0.3941,0.61122
22,,0.36662,0.2845,0.2755,0.61202
23,,0.37228,0.3467,0.327,0.61976
24,,0.3732,0.4286,0.4122,0.6195
25,,0.3741,0.4171,0.4077,0.6262
26,,0.37838,0.4271,0.4241,0.62308
27,,0.37948,0.461,0.431,0.62844
28,,0.38212,0.4366,0.4214,0.62956
29,,0.38386,0.4341,0.4309,0.631
30,,0.38636,0.4109,0.3908,0.6354
31,,0.39298,0.4361,0.4242,0.63328
32,,0.39336,0.4366,0.403,0.63744
33,,0.39388,0.4547,0.4405,0.64222
34,,0.39804,0.4335,0.4348,0.6449
35,,0.39532,0.4612,0.4323,0.64156
36,,0.4004,0.4734,0.4472,0.6448
37,,0.39952,0.4696,0.4557,0.64824
38,,0.40426,0.4501,0.4296,0.64742
39,,0.40494,0.4708,0.4526,0.65132
40,,0.40458,0.4661,0.458,0.64814
41,,0.4107,0.4431,0.4374,0.65142
42,,0.40672,0.4745,0.4586,0.65336
43,,0.40878,0.4582,0.433,0.65454
44,,0.40902,0.4747,0.457,0.65352
45,,0.41334,0.4526,0.427,0.65724
46,,0.41456,0.4806,0.4558,0.65698
47,,0.41018,0.4684,0.4269,0.65974
48,,0.41508,0.4731,0.4417,0.65736
49,,0.41806,0.4628,0.4313,0.6602
50,,0.41856,0.4831,0.4608,0.6576
51,,0.41654,0.4463,0.4014,0.66192
52,,0.4212,0.4829,0.4518,0.66676
53,,0.41868,0.473,0.4476,0.66576
54,,0.4217,0.4608,0.3987,0.66668
55,,0.42246,0.4801,0.4727,0.6664
56,,0.42594,0.4647,0.4221,0.66926
57,,0.42536,0.4913,0.4863,0.66986
58,,0.42604,0.4942,0.4744,0.67208
59,,0.4256,0.4808,0.4435,0.67052
60,,0.45264,0.5235,0.4843,0.70722
61,,0.46254,0.5319,0.4747,0.72526
62,,0.46756,0.5395,0.4969,0.73064
63,,0.47206,0.5492,0.5119,0.7334
64,,0.47262,0.551,0.5057,0.73542
65,,0.47252,0.5508,0.5017,0.74116
66,,0.47026,0.5205,0.4747,0.74074
67,,0.47398,0.5228,0.461,0.74086
68,,0.47624,0.5489,0.5107,0.7393
69,,0.47834,0.5425,0.4979,0.74594
70,,0.47448,0.5367,0.5042,0.74364
71,,0.47428,0.5179,0.4662,0.74408
72,,0.47784,0.5551,0.5028,0.74512
73,,0.47862,0.5464,0.487,0.74774
74,,0.48038,0.5212,0.4586,0.74258
75,,0.4793,0.5662,0.5142,0.74384
76,,0.48178,0.5541,0.5024,0.7444
77,,0.4742,0.5589,0.5283,0.74862
78,,0.47762,0.5589,0.5173,0.74762
79,,0.47842,0.5245,0.4524,0.75072
80,,0.4803,0.5499,0.4971,0.74744
81,,0.47846,0.5592,0.5237,0.74894
82,,0.48128,0.5377,0.5005,0.7466
83,,0.48282,0.5614,0.5026,0.75068
84,,0.48066,0.5368,0.4542,0.74918
85,,0.48204,0.5602,0.5234,0.74888
86,,0.48184,0.5674,0.5147,0.74986
