time,202511141253
dataset,cifar10
model,resnet18
batch_size,128
epochs,200
learning_rate,0.05
no_cuda,False
seed,2020
kernel,3
bias,False
reduction,2.0
groups,2
dropout,0.2
note,
train_aug,simclr2
linear,False
head,mlp
""
epoch,train_loss,train_acc,test_acc,adv_acc,rot_acc
0,,0.12692,0.1918,0.1915,0.31202
1,,0.1567,0.2488,0.2486,0.4036
2,,0.17632,0.2195,0.2197,0.42738
3,,0.19014,0.2333,0.2323,0.4318
4,,0.19598,0.257,0.2559,0.43376
5,,0.20638,0.2642,0.2643,0.43954
6,,0.20894,0.2297,0.2305,0.44794
7,,0.20758,0.2623,0.2619,0.4598
8,,0.21894,0.2404,0.2392,0.47464
9,,0.23118,0.303,0.3015,0.49176
10,,0.24184,0.2702,0.2662,0.5012
11,,0.25364,0.2661,0.2627,0.51672
12,,0.27006,0.2921,0.291,0.52536
13,,0.2738,0.2682,0.2636,0.53032
14,,0.28004,0.2726,0.2709,0.5417
15,,0.28688,0.3068,0.3053,0.5454
16,,0.29594,0.3,0.298,0.55414
17,,0.29894,0.3335,0.3247,0.55516
18,,0.3057,0.3329,0.3256,0.56278
19,,0.31022,0.347,0.3417,0.56526
20,,0.3191,0.3598,0.3518,0.5693
21,,0.32058,0.3601,0.3568,0.57372
22,,0.32488,0.3741,0.3656,0.57502
23,,0.3243,0.325,0.3136,0.57566
24,,0.33258,0.3834,0.3874,0.58068
25,,0.32972,0.3869,0.3926,0.58306
26,,0.33838,0.3722,0.3715,0.58234
27,,0.34378,0.3931,0.3805,0.58794
28,,0.33764,0.4211,0.4161,0.5924
29,,0.34466,0.3735,0.3652,0.59246
30,,0.3454,0.3999,0.3688,0.5949
31,,0.35076,0.4204,0.4115,0.59594
32,,0.35772,0.3728,0.3584,0.60362
33,,0.35318,0.3962,0.3788,0.59896
34,,0.35668,0.4262,0.4032,0.60436
35,,0.36084,0.4048,0.4097,0.6063
36,,0.36306,0.4209,0.4218,0.60754
37,,0.3623,0.4173,0.4187,0.60814
38,,0.36808,0.4439,0.4451,0.6095
39,,0.36646,0.3882,0.373,0.61296
40,,0.3729,0.4717,0.4584,0.61208
41,,0.3694,0.4461,0.4313,0.61548
42,,0.37114,0.4537,0.4406,0.62084
43,,0.3712,0.422,0.4173,0.61794
44,,0.3752,0.432,0.4149,0.6162
45,,0.37598,0.4253,0.4301,0.61704
46,,0.37896,0.4519,0.4282,0.62338
47,,0.382,0.4504,0.4458,0.6214
48,,0.38316,0.4583,0.4517,0.62448
49,,0.38146,0.4338,0.417,0.625
50,,0.38464,0.4266,0.3981,0.62366
51,,0.3847,0.4561,0.4535,0.62778
52,,0.38484,0.4284,0.3995,0.62594
53,,0.38756,0.4436,0.4323,0.63052
54,,0.3867,0.4843,0.4799,0.62596
55,,0.38708,0.4505,0.415,0.62902
56,,0.39062,0.3829,0.3524,0.62922
57,,0.38922,0.4803,0.4614,0.63132
58,,0.3887,0.4327,0.3927,0.63334
59,,0.3903,0.4533,0.4267,0.63632
60,,0.42044,0.4885,0.4743,0.6735
61,,0.43194,0.4999,0.4738,0.68494
62,,0.43578,0.5097,0.4854,0.69356
63,,0.43682,0.512,0.4728,0.6981
64,,0.4397,0.5046,0.4879,0.69818
65,,0.43796,0.5103,0.4939,0.69624
66,,0.43782,0.526,0.5076,0.6996
67,,0.44094,0.4982,0.4657,0.706
68,,0.4423,0.517,0.4847,0.70356
69,,0.44368,0.5055,0.4798,0.70458
70,,0.44312,0.5213,0.4995,0.70344
71,,0.44276,0.5307,0.4958,0.70702
72,,0.4442,0.5164,0.5053,0.70472
73,,0.4369,0.5057,0.4615,0.70728
74,,0.4423,0.5265,0.4786,0.70912
75,,0.44282,0.5314,0.4753,0.7106
76,,0.44334,0.5358,0.5093,0.71016
77,,0.44892,0.5356,0.4939,0.70518
78,,0.44714,0.5189,0.4672,0.70668
79,,0.44672,0.5293,0.4955,0.71118
80,,0.44726,0.5214,0.493,0.71078
81,,0.44378,0.5324,0.4952,0.70754
82,,0.44494,0.5365,0.5008,0.71338
83,,0.44614,0.529,0.4982,0.71052
84,,0.44752,0.5409,0.5153,0.71084
85,,0.44868,0.5207,0.4851,0.71522
86,,0.44516,0.5258,0.4929,0.7122
87,,0.45106,0.5098,0.4374,0.71276
88,,0.44792,0.5244,0.5145,0.71546
89,,0.4534,0.5367,0.5048,0.71656
90,,0.4488,0.5355,0.5199,0.71774
91,,0.44908,0.5188,0.4577,0.71368
92,,0.44648,0.5197,0.4803,0.7161
93,,0.45366,0.5376,0.4988,0.71412
94,,0.45046,0.5299,0.4849,0.71454
