time,202511141253_probe
dataset,cifar10
model,resnet18
batch_size,128
epochs,200
learning_rate,0.05
no_cuda,False
seed,2020
kernel,3
bias,False
reduction,2.0
groups,2
dropout,0.2
note,
train_aug,none
linear,False
head,mlp
""
epoch,train_loss,train_acc,test_acc,adv_acc,rot_acc
0,,0.46836,0.5651,0.5578,
1,,0.55638,0.5972,0.5856,
2,,0.57246,0.5961,0.5903,
3,,0.58608,0.6068,0.5991,
4,,0.59662,0.6153,0.604,
5,,0.59968,0.6216,0.6083,
6,,0.6096,0.6293,0.6219,
7,,0.60954,0.634,0.6267,
8,,0.6093,0.6231,0.618,
9,,0.61686,0.6333,0.6213,
10,,0.61928,0.6439,0.6273,
11,,0.61928,0.6363,0.6214,
12,,0.62184,0.6288,0.6208,
13,,0.61978,0.6387,0.63,
14,,0.6241,0.6407,0.6305,
15,,0.62372,0.6433,0.6337,
16,,0.62212,0.6471,0.6346,
17,,0.62538,0.6452,0.6319,
18,,0.62552,0.6447,0.6364,
19,,0.62782,0.6436,0.6353,
20,,0.62454,0.6469,0.6369,
21,,0.62724,0.645,0.6359,
22,,0.62786,0.6488,0.6405,
23,,0.62822,0.6468,0.636,
24,,0.62868,0.6414,0.6283,
25,,0.6262,0.6415,0.6305,
26,,0.62772,0.6448,0.6319,
27,,0.6274,0.6457,0.6368,
28,,0.62768,0.6421,0.6296,
29,,0.6289,0.6521,0.6393,
30,,0.62896,0.6489,0.6389,
31,,0.62922,0.6532,0.6454,
32,,0.63224,0.6498,0.6406,
33,,0.63002,0.6468,0.6365,
34,,0.62994,0.6517,0.6389,
35,,0.62848,0.633,0.6254,
36,,0.62992,0.6383,0.626,
37,,0.62868,0.6468,0.64,
38,,0.62748,0.6524,0.6415,
39,,0.62948,0.6517,0.6389,
40,,0.6306,0.638,0.6324,
41,,0.62858,0.641,0.6293,
42,,0.62914,0.6319,0.6225,
43,,0.62682,0.6441,0.6312,
44,,0.62762,0.6437,0.6307,
45,,0.62968,0.6469,0.6396,
46,,0.62992,0.6488,0.6434,
47,,0.62828,0.6459,0.6317,
48,,0.6275,0.6475,0.638,
49,,0.6278,0.6485,0.6399,
50,,0.63002,0.6426,0.6377,
51,,0.62972,0.6544,0.6444,
52,,0.62782,0.6486,0.6367,
53,,0.63044,0.6415,0.6303,
54,,0.629,0.6498,0.6389,
55,,0.63094,0.6435,0.6374,
56,,0.6294,0.6465,0.6352,
57,,0.6288,0.649,0.6371,
58,,0.63008,0.6509,0.6418,
59,,0.6277,0.6394,0.6314,
60,,0.63312,0.653,0.6435,
61,,0.63434,0.6438,0.6311,
62,,0.63156,0.655,0.6434,
63,,0.63248,0.6495,0.6397,
64,,0.63132,0.6477,0.6418,
65,,0.63212,0.6477,0.6401,
66,,0.63164,0.6485,0.6365,
67,,0.63176,0.6507,0.6381,
68,,0.63064,0.6504,0.6392,
69,,0.6307,0.6465,0.6381,
70,,0.63326,0.6509,0.643,
71,,0.63246,0.6516,0.6374,
72,,0.6344,0.6472,0.6387,
73,,0.63224,0.6511,0.6429,
74,,0.63262,0.6484,0.6384,
75,,0.63314,0.6448,0.6371,
76,,0.63198,0.6476,0.64,
77,,0.63348,0.6476,0.6384,
78,,0.63098,0.6475,0.6388,
79,,0.62986,0.6493,0.6395,
80,,0.63198,0.6538,0.6403,
81,,0.63094,0.6502,0.6408,
82,,0.63126,0.648,0.6385,
83,,0.63384,0.6541,0.644,
84,,0.6331,0.652,0.6407,
85,,0.63118,0.6463,0.6351,
86,,0.63326,0.6449,0.6325,
87,,0.63094,0.6437,0.6338,
88,,0.6324,0.6477,0.637,
89,,0.62972,0.6493,0.6388,
90,,0.63346,0.6499,0.638,
91,,0.63402,0.6528,0.6354,
92,,0.63052,0.652,0.6404,
93,,0.6317,0.6539,0.6396,
94,,0.63174,0.6455,0.6365,
95,,0.63124,0.6493,0.6407,
96,,0.63124,0.6531,0.6432,
97,,0.63302,0.6467,0.6363,
98,,0.6325,0.6477,0.6368,
99,,0.62986,0.6465,0.6341,
100,,0.6346,0.6432,0.6344,
101,,0.62964,0.65,0.6381,
102,,0.6293,0.651,0.64,
103,,0.63282,0.6456,0.6327,
104,,0.63094,0.6421,0.6344,
105,,0.63264,0.651,0.6409,
106,,0.63084,0.6472,0.6377,
107,,0.6338,0.6486,0.6386,
108,,0.63286,0.6476,0.635,
109,,0.63266,0.6502,0.6386,
110,,0.6319,0.6508,0.64,
111,,0.6304,0.6464,0.6373,
112,,0.63416,0.648,0.639,
113,,0.63192,0.648,0.6376,
114,,0.63122,0.6509,0.6412,
115,,0.63134,0.6514,0.6427,
116,,0.63368,0.6482,0.638,
117,,0.63368,0.6461,0.6391,
118,,0.63354,0.6524,0.6439,
119,,0.63244,0.6506,0.6419,
120,,0.63332,0.6483,0.6406,
121,,0.6315,0.6529,0.6413,
122,,0.63156,0.6518,0.6428,
123,,0.63322,0.6511,0.639,
124,,0.63202,0.6509,0.6429,
125,,0.63346,0.6503,0.6367,
126,,0.63364,0.6485,0.6384,
127,,0.63326,0.6488,0.6378,
128,,0.6306,0.6502,0.6391,
129,,0.63062,0.6492,0.6401,
130,,0.62958,0.6466,0.6402,
131,,0.63014,0.6491,0.6419,
132,,0.63396,0.6525,0.6405,
133,,0.62956,0.6464,0.6388,
134,,0.63208,0.6493,0.6383,
135,,0.63422,0.6497,0.6376,
136,,0.6323,0.6487,0.6396,
137,,0.63328,0.6503,0.6422,
138,,0.63234,0.6504,0.6408,
139,,0.6326,0.6489,0.6366,
140,,0.63182,0.65,0.6406,
141,,0.63344,0.6476,0.6384,
142,,0.63394,0.6497,0.6366,
143,,0.63134,0.6495,0.6399,
144,,0.63246,0.6503,0.6396,
145,,0.63242,0.6479,0.6379,
146,,0.63286,0.6468,0.638,
147,,0.63158,0.6483,0.6404,
148,,0.63184,0.6471,0.638,
149,,0.63344,0.6477,0.6393,
150,,0.63064,0.6497,0.6394,
151,,0.63116,0.6512,0.6424,
152,,0.63258,0.6485,0.6392,
153,,0.63066,0.6504,0.641,
154,,0.63126,0.6519,0.638,
155,,0.63358,0.6488,0.6407,
156,,0.6342,0.6465,0.6342,
157,,0.6346,0.6478,0.6373,
158,,0.63312,0.649,0.6395,
159,,0.63122,0.6517,0.6419,
160,,0.63192,0.6489,0.6386,
161,,0.63108,0.649,0.6371,
162,,0.63228,0.6487,0.6424,
163,,0.634,0.6494,0.6385,
164,,0.63162,0.65,0.638,
165,,0.63296,0.6483,0.6372,
166,,0.63104,0.6469,0.6352,
167,,0.63178,0.6501,0.6385,
168,,0.63208,0.6488,0.635,
169,,0.6335,0.6489,0.6393,
170,,0.63208,0.65,0.6386,
171,,0.6327,0.6485,0.6398,
