time,202511141253
dataset,cifar10
model,C4resnet18
batch_size,128
epochs,200
learning_rate,0.05
no_cuda,False
seed,2020
kernel,3
bias,False
reduction,2.0
groups,2
dropout,0.2
note,
train_aug,simclr2
linear,False
head,mlp
""
epoch,train_loss,train_acc,test_acc,adv_acc,rot_acc
0,,0.11878,0.1822,0.1804,0.32836
1,,0.14104,0.1727,0.1743,0.38892
2,,0.15162,0.1848,0.1837,0.41152
3,,0.16332,0.1794,0.1787,0.4421
4,,0.17092,0.2786,0.2774,0.46052
5,,0.19386,0.2383,0.2407,0.50128
6,,0.22218,0.2815,0.2762,0.53866
7,,0.2562,0.3402,0.3443,0.56002
8,,0.28996,0.4344,0.4262,0.58898
9,,0.3257,0.4334,0.4221,0.61084
10,,0.34564,0.4655,0.4452,0.63308
11,,0.37694,0.4906,0.4727,0.64758
12,,0.38536,0.5049,0.4954,0.66438
13,,0.4007,0.4902,0.4686,0.66932
14,,0.41892,0.5139,0.4831,0.68162
15,,0.42732,0.4572,0.3986,0.6875
16,,0.44522,0.4558,0.3784,0.70058
17,,0.45124,0.544,0.4759,0.7039
18,,0.46154,0.5496,0.5351,0.7132
19,,0.46764,0.5634,0.5436,0.71466
20,,0.47584,0.5397,0.5097,0.72104
21,,0.4778,0.5627,0.4938,0.7239
22,,0.4845,0.6065,0.5988,0.72728
23,,0.49158,0.5906,0.5857,0.7298
24,,0.5025,0.5806,0.5143,0.73606
25,,0.50218,0.6024,0.5878,0.7348
26,,0.50928,0.6493,0.6341,0.73888
27,,0.51104,0.6553,0.6143,0.74278
28,,0.5191,0.5566,0.5012,0.74384
29,,0.51848,0.6105,0.5741,0.74468
30,,0.52662,0.5499,0.4701,0.74612
31,,0.52504,0.5981,0.5637,0.74794
32,,0.53184,0.6675,0.6466,0.7539
33,,0.53134,0.575,0.5516,0.7533
34,,0.53658,0.6423,0.6297,0.75762
35,,0.53684,0.6068,0.519,0.75828
36,,0.53888,0.5615,0.5363,0.75604
37,,0.54692,0.6497,0.5882,0.75998
38,,0.54362,0.6534,0.634,0.7584
39,,0.55098,0.6621,0.636,0.76414
40,,0.55394,0.6762,0.6495,0.76464
41,,0.55264,0.6497,0.6243,0.76592
42,,0.5536,0.6413,0.5832,0.7623
43,,0.55428,0.5998,0.5907,0.76896
44,,0.55732,0.6899,0.6595,0.76796
