time,202511141253_probe
dataset,cifar10
model,C4resnet18
batch_size,128
epochs,200
learning_rate,0.05
no_cuda,False
seed,2020
kernel,3
bias,False
reduction,2.0
groups,2
dropout,0.2
note,
train_aug,none
linear,False
head,mlp
""
epoch,train_loss,train_acc,test_acc,adv_acc,rot_acc
0,,0.74558,0.8023,0.7871,
1,,0.80434,0.8152,0.8034,
2,,0.81518,0.8111,0.7958,
3,,0.8208,0.8224,0.8083,
4,,0.82452,0.8271,0.8089,
5,,0.82728,0.8298,0.8158,
6,,0.82764,0.8295,0.8123,
7,,0.83218,0.821,0.8057,
8,,0.8303,0.8305,0.817,
9,,0.83126,0.824,0.8114,
10,,0.8352,0.8327,0.8173,
11,,0.83502,0.8256,0.8107,
12,,0.83574,0.8305,0.8188,
13,,0.83498,0.8324,0.8184,
14,,0.83718,0.8382,0.8216,
15,,0.83596,0.8336,0.8157,
16,,0.8381,0.8359,0.8233,
17,,0.83706,0.8314,0.8221,
18,,0.83488,0.8333,0.8155,
19,,0.8368,0.8349,0.8201,
20,,0.8384,0.8274,0.8194,
21,,0.83908,0.8301,0.8145,
22,,0.83924,0.8338,0.8203,
23,,0.83804,0.8283,0.8149,
24,,0.83816,0.8345,0.818,
25,,0.83884,0.8365,0.8226,
26,,0.8391,0.8323,0.8182,
27,,0.83858,0.8306,0.8164,
28,,0.83616,0.8351,0.819,
29,,0.83956,0.8327,0.8207,
30,,0.83872,0.8357,0.8235,
31,,0.83824,0.8297,0.8174,
32,,0.8381,0.8236,0.8154,
33,,0.839,0.8348,0.8178,
34,,0.83902,0.8129,0.7994,
35,,0.8382,0.8353,0.8247,
36,,0.8378,0.8316,0.8213,
37,,0.83844,0.8292,0.8222,
38,,0.83784,0.8352,0.8197,
39,,0.8378,0.8331,0.8208,
40,,0.83872,0.836,0.8221,
41,,0.83802,0.8315,0.8175,
42,,0.83892,0.8269,0.8096,
43,,0.83894,0.8331,0.8208,
44,,0.83858,0.8351,0.8248,
45,,0.83828,0.8352,0.8223,
46,,0.83884,0.8288,0.8194,
47,,0.83772,0.8356,0.8216,
48,,0.83936,0.8355,0.8223,
49,,0.83896,0.8328,0.8225,
50,,0.8369,0.8338,0.822,
51,,0.83948,0.8358,0.8204,
52,,0.83956,0.8352,0.8206,
53,,0.83884,0.8268,0.8154,
54,,0.8376,0.8317,0.8195,
55,,0.84074,0.8347,0.8224,
