time,202511141253
dataset,cifar10
model,C4resnet18
batch_size,128
epochs,200
learning_rate,0.05
no_cuda,False
seed,2020
kernel,3
bias,False
reduction,2.0
groups,2
dropout,0.2
note,
train_aug,simclr
linear,False
head,mlp
""
epoch,train_loss,train_acc,test_acc,adv_acc,rot_acc
0,,0.11794,0.1547,0.1527,0.32546
1,,0.14878,0.1828,0.1835,0.399
2,,0.16718,0.2154,0.2155,0.4224
3,,0.16916,0.2373,0.2381,0.44672
4,,0.18384,0.2197,0.22,0.46796
5,,0.19078,0.2388,0.238,0.48354
6,,0.20442,0.2559,0.2565,0.51258
7,,0.23596,0.3114,0.3098,0.548
8,,0.26388,0.3492,0.3457,0.5763
9,,0.29312,0.3274,0.3135,0.6007
10,,0.31402,0.4157,0.3899,0.62078
11,,0.3313,0.3925,0.3648,0.63394
12,,0.3587,0.3689,0.3285,0.65738
13,,0.36834,0.408,0.3367,0.6605
14,,0.38514,0.4969,0.4925,0.67946
15,,0.40532,0.417,0.4127,0.69016
16,,0.41848,0.4658,0.3727,0.70436
17,,0.4265,0.4846,0.4679,0.71002
18,,0.43504,0.5231,0.4987,0.71882
19,,0.44456,0.5165,0.4699,0.72462
20,,0.45266,0.5439,0.4869,0.72812
21,,0.45934,0.5114,0.4555,0.73636
22,,0.46526,0.52,0.4374,0.74056
23,,0.47886,0.5937,0.5551,0.74512
24,,0.48384,0.5425,0.4533,0.74994
25,,0.4866,0.5481,0.4637,0.7561
26,,0.4919,0.5354,0.4673,0.75944
27,,0.5018,0.6172,0.5729,0.76348
28,,0.50242,0.6085,0.5524,0.76716
29,,0.51002,0.5945,0.5477,0.7734
30,,0.51262,0.6183,0.5641,0.7768
31,,0.5175,0.6423,0.5904,0.7809
32,,0.5209,0.6731,0.5834,0.78384
33,,0.52488,0.583,0.464,0.7873
34,,0.5312,0.6337,0.549,0.79124
35,,0.53108,0.6656,0.522,0.792
36,,0.53566,0.5411,0.2683,0.7925
37,,0.536,0.6641,0.6566,0.79312
38,,0.54406,0.6326,0.5626,0.79494
39,,0.54526,0.6295,0.5646,0.79902
