time,202511141253_probe
dataset,cifar10
model,C4resnet18
batch_size,128
epochs,200
learning_rate,0.05
no_cuda,False
seed,2020
kernel,3
bias,False
reduction,2.0
groups,2
dropout,0.2
note,
train_aug,none
linear,False
head,mlp
""
epoch,train_loss,train_acc,test_acc,adv_acc,rot_acc
0,,0.7452,0.7947,0.7666,
1,,0.8026,0.8186,0.7775,
2,,0.81132,0.8158,0.7871,
3,,0.81872,0.8248,0.7847,
4,,0.82206,0.824,0.7919,
5,,0.82818,0.8214,0.7765,
6,,0.82836,0.8248,0.7852,
7,,0.83062,0.8365,0.7969,
8,,0.83198,0.8343,0.8025,
9,,0.83288,0.8377,0.8038,
10,,0.83406,0.8346,0.8027,
11,,0.8357,0.8277,0.7888,
12,,0.83454,0.8341,0.7995,
13,,0.83374,0.8314,0.81,
14,,0.83488,0.8264,0.7828,
15,,0.8361,0.8211,0.7764,
16,,0.83296,0.8368,0.7943,
17,,0.83476,0.8398,0.8007,
18,,0.83628,0.8365,0.8015,
19,,0.83548,0.84,0.8107,
20,,0.83572,0.8335,0.8017,
21,,0.8367,0.8296,0.7891,
22,,0.83752,0.8406,0.805,
23,,0.83674,0.8374,0.7949,
24,,0.83562,0.8364,0.794,
25,,0.83514,0.8368,0.8035,
26,,0.83564,0.8375,0.8031,
27,,0.83598,0.8375,0.8032,
28,,0.83612,0.838,0.7951,
29,,0.83642,0.8398,0.8047,
30,,0.83674,0.8348,0.8011,
31,,0.83708,0.8358,0.8008,
32,,0.8351,0.8431,0.807,
33,,0.83758,0.8297,0.8018,
34,,0.83542,0.8361,0.8073,
35,,0.8392,0.834,0.8029,
36,,0.83832,0.8406,0.7983,
37,,0.83654,0.8342,0.8052,
38,,0.83642,0.8315,0.808,
39,,0.83588,0.839,0.8038,
40,,0.83638,0.8365,0.7999,
41,,0.83752,0.8354,0.8029,
42,,0.83662,0.838,0.8068,
43,,0.8371,0.8359,0.8002,
44,,0.83534,0.8328,0.7849,
45,,0.8375,0.834,0.7985,
46,,0.8386,0.8341,0.801,
47,,0.8382,0.8301,0.8066,
48,,0.83624,0.8339,0.8058,
49,,0.83652,0.8324,0.8083,
50,,0.83828,0.828,0.802,
51,,0.83714,0.8274,0.7833,
52,,0.83784,0.8419,0.7964,
53,,0.83804,0.8295,0.7888,
54,,0.83808,0.8364,0.8035,
55,,0.83734,0.8276,0.7958,
56,,0.83652,0.8318,0.8022,
57,,0.83688,0.8361,0.804,
58,,0.83722,0.8376,0.803,
59,,0.83884,0.8349,0.8085,
60,,0.84492,0.8392,0.8131,
61,,0.84448,0.8394,0.8098,
62,,0.84418,0.8439,0.8064,
63,,0.84676,0.8418,0.8098,
64,,0.84576,0.8419,0.8071,
65,,0.84662,0.841,0.8121,
66,,0.84674,0.8422,0.8078,
67,,0.84546,0.8414,0.8093,
68,,0.84544,0.841,0.804,
69,,0.84542,0.8416,0.8027,
70,,0.8467,0.8425,0.808,
71,,0.84618,0.8426,0.8097,
72,,0.8452,0.8393,0.8073,
73,,0.84574,0.8426,0.8051,
74,,0.84516,0.8441,0.8046,
75,,0.84558,0.8422,0.8095,
76,,0.84604,0.843,0.8084,
77,,0.84492,0.8426,0.8104,
78,,0.8468,0.8419,0.8099,
79,,0.8465,0.8425,0.8084,
80,,0.84564,0.8423,0.8101,
81,,0.84578,0.8417,0.8068,
82,,0.84412,0.8414,0.8113,
83,,0.84618,0.8442,0.8047,
84,,0.84554,0.842,0.804,
85,,0.8464,0.8426,0.8068,
86,,0.84512,0.8419,0.8053,
87,,0.84544,0.8409,0.8051,
88,,0.84614,0.8432,0.8059,
89,,0.84542,0.8438,0.7976,
90,,0.84768,0.8408,0.8008,
91,,0.84624,0.8414,0.8039,
92,,0.84542,0.843,0.8021,
