time,202511141253
dataset,cifar10
model,resnet18
batch_size,128
epochs,200
learning_rate,0.05
no_cuda,False
seed,2020
kernel,3
bias,False
reduction,2.0
groups,2
dropout,0.2
note,
train_aug,sup
linear,False
head,mlp
""
epoch,train_loss,train_acc,test_acc,adv_acc,rot_acc
0,,0.19226,0.2133,0.2129,0.45296
1,,0.25572,0.27,0.271,0.57566
2,,0.29102,0.2999,0.2994,0.603
3,,0.30378,0.3214,0.3236,0.62544
4,,0.31896,0.3127,0.3163,0.6528
5,,0.33678,0.3359,0.3321,0.67714
6,,0.36902,0.387,0.383,0.69958
7,,0.39234,0.3876,0.384,0.71568
8,,0.40544,0.3864,0.3588,0.7343
9,,0.42338,0.3694,0.3298,0.74898
10,,0.44022,0.429,0.3978,0.76344
11,,0.45136,0.4272,0.3901,0.77294
12,,0.46018,0.4078,0.3662,0.78332
13,,0.46894,0.4792,0.4393,0.79422
14,,0.47666,0.3651,0.3514,0.79984
15,,0.47746,0.4568,0.3524,0.80552
16,,0.48554,0.4682,0.3105,0.80986
17,,0.4894,0.5078,0.4414,0.8167
18,,0.49536,0.4402,0.342,0.82222
19,,0.49832,0.4746,0.4044,0.82492
20,,0.5017,0.5027,0.3965,0.8308
21,,0.50242,0.5045,0.4718,0.8341
22,,0.50458,0.5137,0.3762,0.83584
23,,0.50908,0.4606,0.4283,0.84304
24,,0.51218,0.5259,0.4477,0.84242
25,,0.51314,0.44,0.396,0.847
26,,0.51542,0.486,0.3818,0.84634
27,,0.51634,0.443,0.3244,0.85424
28,,0.52256,0.4991,0.391,0.85272
29,,0.5152,0.5228,0.4035,0.8549
30,,0.52696,0.5334,0.4377,0.85766
31,,0.52446,0.4743,0.3667,0.86008
32,,0.52358,0.5375,0.4168,0.8579
33,,0.52718,0.5322,0.4371,0.86122
34,,0.5266,0.5328,0.4604,0.8617
35,,0.53302,0.5591,0.4385,0.86676
36,,0.53258,0.5265,0.4026,0.86612
37,,0.52942,0.5343,0.3876,0.86568
38,,0.53382,0.5265,0.4186,0.86648
39,,0.53612,0.5475,0.4309,0.86848
40,,0.53876,0.5376,0.4234,0.86964
41,,0.5375,0.5457,0.408,0.86902
42,,0.53962,0.5249,0.3936,0.8707
43,,0.5386,0.543,0.3908,0.87356
44,,0.5365,0.5546,0.4843,0.8736
45,,0.53894,0.5315,0.4645,0.87396
46,,0.54112,0.5574,0.4413,0.8756
47,,0.541,0.5725,0.4612,0.87636
48,,0.54294,0.5528,0.4885,0.8749
49,,0.54392,0.5587,0.454,0.87806
50,,0.54904,0.5184,0.4418,0.87838
51,,0.54254,0.5383,0.4741,0.8766
52,,0.54824,0.5484,0.4464,0.87838
53,,0.548,0.521,0.4297,0.8801
54,,0.54992,0.5334,0.391,0.87878
55,,0.55446,0.4974,0.3521,0.8801
56,,0.54534,0.5562,0.4492,0.87942
57,,0.54902,0.5461,0.4692,0.87816
58,,0.55238,0.5188,0.4045,0.88232
59,,0.54636,0.481,0.3048,0.88202
60,,0.58236,0.6013,0.4786,0.9171
61,,0.59364,0.598,0.477,0.9286
62,,0.58978,0.6039,0.4867,0.93238
63,,0.59276,0.6119,0.4915,0.93616
64,,0.59246,0.6046,0.4941,0.94024
65,,0.59328,0.5917,0.502,0.94222
66,,0.59268,0.598,0.4977,0.94224
67,,0.5906,0.5938,0.5019,0.94462
68,,0.58982,0.596,0.4738,0.94448
69,,0.58988,0.6034,0.5124,0.94652
70,,0.5892,0.5905,0.5084,0.94604
71,,0.58444,0.574,0.4792,0.94928
72,,0.5816,0.5896,0.4915,0.94756
73,,0.58246,0.5807,0.5244,0.9489
74,,0.58056,0.5826,0.5001,0.94898
75,,0.57896,0.5876,0.4915,0.95012
76,,0.57616,0.5812,0.4751,0.94834
77,,0.57794,0.5898,0.4891,0.94906
78,,0.57394,0.577,0.5031,0.94878
79,,0.57152,0.5784,0.4532,0.94842
80,,0.5726,0.5579,0.466,0.95022
81,,0.57306,0.5682,0.4824,0.94886
82,,0.57446,0.5822,0.4844,0.9508
83,,0.57282,0.5737,0.4756,0.9508
84,,0.57158,0.5628,0.4603,0.9493
85,,0.5724,0.5833,0.4985,0.95044
86,,0.57196,0.5762,0.4829,0.95004
87,,0.5724,0.5774,0.4953,0.95136
88,,0.57044,0.5786,0.453,0.94844
89,,0.56756,0.56,0.4654,0.9502
90,,0.56514,0.5778,0.5043,0.95162
91,,0.56366,0.5517,0.4605,0.95006
92,,0.568,0.5787,0.4791,0.9507
93,,0.56468,0.5662,0.4645,0.95004
94,,0.56938,0.5608,0.4374,0.95008
95,,0.56642,0.5472,0.4422,0.9521
96,,0.56758,0.5782,0.492,0.9509
97,,0.56256,0.5916,0.5124,0.95104
98,,0.56534,0.5811,0.4665,0.95186
99,,0.56442,0.5838,0.4277,0.951
100,,0.5663,0.5731,0.4831,0.9515
101,,0.56838,0.5733,0.5232,0.95242
102,,0.5661,0.5596,0.5045,0.95104
103,,0.56058,0.5762,0.4776,0.95138
104,,0.56024,0.5851,0.4909,0.95244
105,,0.56072,0.5807,0.4784,0.9519
106,,0.56582,0.5828,0.4757,0.95254
107,,0.56246,0.5794,0.4448,0.9523
108,,0.5615,0.5809,0.5004,0.95324
109,,0.56028,0.5867,0.4656,0.95352
110,,0.56312,0.5665,0.4708,0.95378
111,,0.56276,0.5677,0.515,0.95342
112,,0.56054,0.5606,0.486,0.95276
113,,0.55812,0.5721,0.4959,0.9526
114,,0.56502,0.5615,0.4429,0.95316
115,,0.5617,0.5812,0.4592,0.95372
116,,0.56252,0.5631,0.4858,0.95474
117,,0.563,0.5688,0.4558,0.95352
118,,0.5606,0.5405,0.4778,0.95436
119,,0.56332,0.5578,0.4723,0.9539
120,,0.57916,0.586,0.4913,0.97086
121,,0.58094,0.5907,0.4901,0.9766
122,,0.58176,0.5898,0.4796,0.97894
