time,202511141253_probe
dataset,cifar10
model,resnet18
batch_size,128
epochs,200
learning_rate,0.05
no_cuda,False
seed,2020
kernel,3
bias,False
reduction,2.0
groups,2
dropout,0.2
note,
train_aug,none
linear,False
head,mlp
""
epoch,train_loss,train_acc,test_acc,adv_acc,rot_acc
0,,0.31402,0.4282,0.3639,
1,,0.41746,0.4487,0.3848,
2,,0.4579,0.4766,0.3908,
3,,0.47932,0.5107,0.4081,
4,,0.49772,0.5275,0.4294,
5,,0.50808,0.5343,0.4306,
6,,0.51616,0.5322,0.4431,
7,,0.522,0.5361,0.4569,
8,,0.52638,0.5439,0.4567,
9,,0.53026,0.533,0.4722,
10,,0.53568,0.5393,0.45,
11,,0.5356,0.5476,0.4528,
12,,0.54534,0.551,0.4507,
13,,0.5433,0.5617,0.4582,
14,,0.54724,0.5488,0.4642,
15,,0.54548,0.5498,0.4607,
16,,0.5507,0.5604,0.4709,
17,,0.54884,0.5631,0.4561,
18,,0.554,0.5647,0.4616,
19,,0.55344,0.5675,0.4719,
20,,0.55408,0.5677,0.4478,
21,,0.55238,0.5627,0.4695,
22,,0.55416,0.5491,0.486,
23,,0.55524,0.5532,0.4567,
24,,0.55766,0.5587,0.4739,
25,,0.55576,0.5605,0.4738,
26,,0.558,0.5544,0.4849,
27,,0.55652,0.5558,0.4757,
28,,0.55522,0.5617,0.4965,
29,,0.5557,0.5637,0.4824,
30,,0.55932,0.5549,0.4796,
31,,0.55472,0.5609,0.4964,
32,,0.55586,0.5731,0.4644,
33,,0.56266,0.5483,0.4555,
34,,0.56012,0.5744,0.486,
35,,0.56066,0.5705,0.5034,
36,,0.56054,0.5705,0.4701,
37,,0.5594,0.5765,0.4827,
38,,0.5595,0.5704,0.5002,
39,,0.55776,0.5555,0.4892,
40,,0.5604,0.5637,0.4824,
41,,0.55914,0.5653,0.4789,
42,,0.56004,0.5701,0.4802,
43,,0.56028,0.5662,0.4804,
44,,0.56128,0.5692,0.4816,
45,,0.55862,0.5739,0.4981,
46,,0.56142,0.5731,0.4806,
47,,0.55758,0.5727,0.477,
48,,0.56016,0.5727,0.4599,
49,,0.55908,0.5658,0.4775,
50,,0.5597,0.5617,0.4847,
51,,0.56072,0.5792,0.4759,
52,,0.5605,0.5625,0.5003,
53,,0.55974,0.5816,0.4809,
54,,0.5616,0.5578,0.4775,
55,,0.5605,0.5607,0.4808,
56,,0.557,0.5571,0.4966,
57,,0.55644,0.5767,0.4945,
58,,0.5586,0.5788,0.4734,
59,,0.56206,0.5727,0.4617,
60,,0.57054,0.5749,0.4817,
61,,0.57202,0.5769,0.493,
62,,0.5711,0.5797,0.4917,
63,,0.57286,0.5783,0.4768,
64,,0.56962,0.5701,0.4717,
65,,0.57056,0.576,0.4791,
66,,0.57256,0.5754,0.485,
67,,0.56828,0.5737,0.4947,
68,,0.56836,0.5736,0.4861,
69,,0.57072,0.5735,0.4859,
70,,0.57262,0.5709,0.493,
71,,0.5691,0.5777,0.4801,
72,,0.57158,0.576,0.4816,
73,,0.57078,0.5789,0.4913,
74,,0.57208,0.5777,0.4751,
75,,0.56968,0.5749,0.4789,
76,,0.57072,0.5772,0.4834,
77,,0.57016,0.58,0.4863,
78,,0.56876,0.5681,0.4823,
79,,0.57156,0.576,0.4872,
80,,0.57256,0.5745,0.4778,
81,,0.56998,0.5774,0.4744,
82,,0.57176,0.5757,0.4838,
83,,0.56768,0.5728,0.4831,
84,,0.57202,0.5751,0.4768,
85,,0.56816,0.5764,0.4853,
86,,0.57292,0.5793,0.4725,
87,,0.5712,0.5754,0.4862,
88,,0.57318,0.5718,0.4925,
89,,0.5695,0.5753,0.4864,
90,,0.56988,0.5792,0.4814,
91,,0.56912,0.5759,0.4864,
92,,0.57346,0.5649,0.4776,
93,,0.57058,0.5777,0.4895,
94,,0.57006,0.5771,0.4833,
95,,0.57316,0.5772,0.4974,
96,,0.57074,0.5736,0.4902,
97,,0.57188,0.5758,0.4925,
98,,0.56888,0.5744,0.4874,
99,,0.57066,0.5739,0.4792,
100,,0.56928,0.5786,0.4838,
101,,0.57078,0.5784,0.488,
102,,0.56828,0.5785,0.4857,
103,,0.57126,0.5691,0.4757,
104,,0.5686,0.5782,0.4778,
105,,0.56926,0.5671,0.4887,
106,,0.57404,0.5739,0.4927,
107,,0.57208,0.5783,0.4802,
108,,0.57228,0.5802,0.4861,
109,,0.57352,0.569,0.4893,
110,,0.57114,0.5728,0.4957,
111,,0.57044,0.576,0.4925,
112,,0.57064,0.5767,0.4861,
113,,0.57222,0.5725,0.4811,
114,,0.57262,0.5742,0.4882,
115,,0.57118,0.5744,0.4854,
116,,0.57122,0.5754,0.4912,
117,,0.57312,0.5781,0.4798,
118,,0.56898,0.5752,0.4914,
119,,0.57258,0.5807,0.482,
120,,0.57344,0.5814,0.4823,
121,,0.57558,0.5772,0.488,
122,,0.574,0.5765,0.4852,
123,,0.57414,0.577,0.492,
124,,0.57104,0.5776,0.4838,
125,,0.57306,0.5752,0.483,
126,,0.57338,0.578,0.4767,
127,,0.5724,0.5788,0.486,
128,,0.57468,0.5774,0.4878,
129,,0.5725,0.5772,0.4859,
130,,0.57336,0.5774,0.4759,
131,,0.5743,0.5796,0.4882,
132,,0.57406,0.5756,0.4817,
133,,0.57186,0.5792,0.4936,
134,,0.57358,0.5773,0.493,
135,,0.57356,0.5752,0.4917,
136,,0.57224,0.5774,0.4846,
137,,0.57266,0.5788,0.4898,
138,,0.57302,0.5805,0.4866,
139,,0.57494,0.5806,0.484,
140,,0.57294,0.5766,0.4905,
141,,0.57398,0.5796,0.4831,
142,,0.57218,0.5766,0.4785,
143,,0.5729,0.5766,0.4819,
144,,0.57414,0.5745,0.4923,
145,,0.57352,0.5792,0.4904,
146,,0.57554,0.5759,0.4928,
147,,0.57066,0.5768,0.4806,
148,,0.57246,0.5793,0.4899,
149,,0.57316,0.5773,0.4778,
150,,0.5722,0.5768,0.4861,
151,,0.57564,0.5764,0.4832,
152,,0.57698,0.5771,0.4841,
153,,0.57122,0.5793,0.4831,
154,,0.57302,0.5779,0.4914,
155,,0.57388,0.5771,0.4809,
156,,0.5748,0.5783,0.4874,
157,,0.57426,0.5754,0.4783,
158,,0.57536,0.5744,0.4789,
159,,0.57204,0.578,0.4881,
160,,0.57692,0.5772,0.4823,
161,,0.571,0.5761,0.4866,
162,,0.57408,0.5755,0.4875,
163,,0.5753,0.5767,0.4823,
164,,0.57292,0.5798,0.484,
165,,0.57418,0.5767,0.4964,
166,,0.57252,0.577,0.4863,
167,,0.57592,0.5765,0.4804,
168,,0.57208,0.5775,0.4797,
169,,0.5734,0.5771,0.4889,
170,,0.57408,0.5763,0.4937,
171,,0.57172,0.5762,0.4847,
172,,0.57318,0.575,0.4879,
173,,0.57598,0.5784,0.4824,
174,,0.57458,0.5758,0.4863,
175,,0.57286,0.5776,0.4868,
176,,0.57274,0.578,0.4827,
177,,0.57504,0.5771,0.4837,
178,,0.5716,0.5771,0.4877,
179,,0.57228,0.5776,0.4896,
180,,0.57434,0.5785,0.4843,
181,,0.57436,0.577,0.4929,
182,,0.57318,0.5774,0.4847,
183,,0.57274,0.5768,0.4861,
184,,0.57166,0.5798,0.4827,
185,,0.57218,0.5768,0.4787,
186,,0.57486,0.5767,0.4775,
187,,0.57538,0.5772,0.4931,
188,,0.57468,0.5777,0.4881,
189,,0.57198,0.5765,0.4714,
190,,0.5751,0.5794,0.4911,
191,,0.57388,0.5764,0.4871,
192,,0.57354,0.5797,0.4856,
193,,0.57408,0.5799,0.4898,
194,,0.57538,0.5783,0.4871,
195,,0.5744,0.5786,0.5018,
196,,0.57592,0.5768,0.4852,
197,,0.57218,0.5798,0.4874,
198,,0.57434,0.5769,0.4899,
199,,0.5736,0.5799,0.483,
