time,202511141253
dataset,cifar10
model,C4resnet18
batch_size,128
epochs,200
learning_rate,0.05
no_cuda,False
seed,2020
kernel,3
bias,False
reduction,2.0
groups,2
dropout,0.2
note,
train_aug,sup
linear,False
head,mlp
""
epoch,train_loss,train_acc,test_acc,adv_acc,rot_acc
0,,0.12032,0.1249,0.1251,0.2572
1,,0.14814,0.2159,0.2158,0.36128
2,,0.20842,0.2284,0.2281,0.5473
3,,0.24984,0.2548,0.2538,0.59604
4,,0.29234,0.2985,0.2925,0.65788
5,,0.3409,0.3537,0.304,0.71962
6,,0.40154,0.3799,0.2555,0.77184
7,,0.45406,0.4565,0.3216,0.81286
8,,0.49954,0.5107,0.4277,0.84236
9,,0.52776,0.5672,0.5242,0.8621
10,,0.56034,0.5727,0.4832,0.87888
11,,0.58506,0.5347,0.405,0.89176
12,,0.5981,0.5742,0.4626,0.90446
13,,0.61084,0.6142,0.5288,0.9139
14,,0.62364,0.6007,0.4738,0.91926
15,,0.63492,0.5924,0.4532,0.92632
16,,0.64454,0.6252,0.5581,0.93222
17,,0.65534,0.6398,0.6005,0.93594
18,,0.66156,0.6674,0.6057,0.94002
19,,0.66682,0.653,0.6117,0.94298
20,,0.67506,0.6212,0.4949,0.94566
21,,0.67838,0.6407,0.5826,0.94864
22,,0.68224,0.6798,0.6471,0.94934
23,,0.68862,0.6517,0.569,0.95066
24,,0.69084,0.6422,0.5636,0.9546
25,,0.7006,0.6682,0.564,0.9559
26,,0.69998,0.6891,0.6177,0.95578
27,,0.70418,0.6586,0.6287,0.95918
28,,0.70624,0.7075,0.6468,0.95726
29,,0.70898,0.6887,0.5944,0.9598
30,,0.71162,0.707,0.6359,0.9595
31,,0.71498,0.703,0.6533,0.96216
32,,0.71394,0.6478,0.5708,0.96364
33,,0.71992,0.5791,0.504,0.96502
34,,0.71648,0.6703,0.5488,0.9629
35,,0.72142,0.6736,0.5933,0.96382
36,,0.72562,0.685,0.6043,0.96488
37,,0.72436,0.6862,0.5766,0.96436
38,,0.72956,0.707,0.5936,0.9666
39,,0.72958,0.6698,0.6131,0.96518
40,,0.72828,0.7088,0.6431,0.96752
41,,0.72632,0.7198,0.5871,0.96664
42,,0.72912,0.7183,0.6251,0.9659
43,,0.73272,0.7227,0.6432,0.96762
44,,0.73284,0.6952,0.6411,0.96876
45,,0.729,0.7275,0.6302,0.96776
46,,0.73544,0.6987,0.6348,0.9694
47,,0.73906,0.7276,0.657,0.96904
48,,0.74164,0.7167,0.6105,0.96816
49,,0.74118,0.6946,0.6133,0.97078
50,,0.73686,0.7448,0.6299,0.96876
51,,0.74172,0.7045,0.6923,0.9707
52,,0.73872,0.6961,0.5881,0.9702
53,,0.73952,0.7357,0.6478,0.96986
54,,0.73848,0.7229,0.6741,0.97026
55,,0.7413,0.7251,0.6429,0.96964
56,,0.74176,0.7302,0.6515,0.9704
57,,0.74318,0.6973,0.6347,0.97016
58,,0.74406,0.7239,0.6569,0.96932
59,,0.74632,0.7369,0.6519,0.97094
60,,0.77774,0.7704,0.694,0.98996
61,,0.78832,0.7835,0.7087,0.99574
62,,0.79296,0.7802,0.7154,0.99754
63,,0.79416,0.7819,0.7134,0.99814
64,,0.7965,0.7864,0.7198,0.9987
65,,0.79494,0.7802,0.7088,0.99894
66,,0.79558,0.7868,0.7283,0.99912
67,,0.79578,0.7871,0.7191,0.99948
68,,0.799,0.7882,0.7308,0.99946
69,,0.79896,0.7846,0.7318,0.99948
70,,0.79962,0.7908,0.7207,0.99962
71,,0.79992,0.7903,0.7383,0.99988
72,,0.7999,0.7918,0.7262,0.99968
73,,0.8004,0.7915,0.7284,0.99984
74,,0.79874,0.7938,0.7233,0.99974
75,,0.799,0.793,0.7343,0.99988
76,,0.8013,0.7928,0.7266,0.99984
77,,0.80052,0.7937,0.7245,0.9999
78,,0.80414,0.7924,0.7227,0.99996
79,,0.8031,0.7934,0.7209,0.99994
80,,0.80054,0.7877,0.7166,0.99996
81,,0.80086,0.7857,0.7158,0.99986
82,,0.8008,0.7884,0.7271,0.9999
83,,0.79762,0.7884,0.7193,1.0
84,,0.79738,0.7856,0.7147,0.99988
85,,0.79776,0.7904,0.7203,0.99988
86,,0.7974,0.7922,0.7231,0.99988
87,,0.79602,0.7892,0.717,0.99996
88,,0.79612,0.7847,0.717,0.99982
89,,0.7973,0.7851,0.695,0.99988
90,,0.79458,0.7858,0.7081,0.99992
91,,0.79286,0.7856,0.7111,0.99988
92,,0.79402,0.7872,0.7149,0.9998
93,,0.79146,0.781,0.7094,0.99964
94,,0.78532,0.7698,0.6819,0.9991
95,,0.77094,0.7515,0.6758,0.99404
96,,0.7625,0.7451,0.6545,0.99074
97,,0.75876,0.7526,0.6845,0.99042
98,,0.76364,0.744,0.6882,0.99066
99,,0.7611,0.7476,0.6332,0.99036
100,,0.76032,0.7447,0.6877,0.9921
101,,0.76464,0.7537,0.6463,0.99206
102,,0.76482,0.7498,0.6897,0.99316
103,,0.76412,0.747,0.6436,0.99292
104,,0.76544,0.7534,0.6974,0.99358
105,,0.76704,0.7566,0.7047,0.99456
106,,0.76878,0.7495,0.6962,0.99492
107,,0.76572,0.7564,0.6714,0.99308
108,,0.76636,0.76,0.6635,0.9937
109,,0.7718,0.754,0.7007,0.9939
110,,0.76942,0.7534,0.6657,0.99346
111,,0.76716,0.756,0.6827,0.995
112,,0.76988,0.7586,0.6857,0.99454
113,,0.77106,0.7648,0.6865,0.99418
114,,0.7727,0.7599,0.6691,0.9945
115,,0.76762,0.765,0.689,0.99426
116,,0.76762,0.7503,0.7074,0.99464
117,,0.77058,0.7487,0.6241,0.99436
118,,0.77406,0.7638,0.6978,0.9947
119,,0.76958,0.7598,0.6767,0.99458
120,,0.7824,0.7803,0.6992,0.99792
121,,0.78962,0.782,0.7092,0.99928
122,,0.79,0.7824,0.707,0.99944
123,,0.79,0.7845,0.7163,0.9997
124,,0.79272,0.7858,0.7117,0.99982
125,,0.79218,0.7838,0.713,0.99972
126,,0.79374,0.7867,0.7125,0.99992
127,,0.7934,0.7893,0.7113,0.99984
128,,0.7938,0.7895,0.7128,0.9999
129,,0.79626,0.7893,0.7181,0.99992
130,,0.794,0.7902,0.7214,0.99996
131,,0.79342,0.7874,0.7191,0.99992
132,,0.79466,0.7912,0.7191,0.99998
133,,0.79562,0.7901,0.718,1.0
134,,0.79584,0.7906,0.7167,0.99998
135,,0.79568,0.7889,0.7209,0.99998
136,,0.79576,0.7899,0.7253,0.99998
137,,0.7966,0.7911,0.7158,1.0
138,,0.79762,0.7922,0.7252,1.0
139,,0.79618,0.7914,0.7172,0.99996
140,,0.7975,0.7912,0.722,1.0
141,,0.79734,0.7913,0.7171,1.0
142,,0.7975,0.7901,0.7183,1.0
143,,0.79732,0.7914,0.7234,1.0
144,,0.7953,0.79,0.7259,1.0
145,,0.79806,0.7909,0.7183,1.0
146,,0.79736,0.7924,0.7226,1.0
147,,0.79536,0.7918,0.7233,0.99998
148,,0.797,0.7923,0.7173,0.99998
149,,0.79768,0.7903,0.7099,1.0
150,,0.79858,0.7902,0.7164,1.0
151,,0.79704,0.79,0.7083,1.0
152,,0.7969,0.7929,0.7245,1.0
153,,0.80004,0.7935,0.7237,1.0
154,,0.79824,0.7928,0.7189,1.0
155,,0.79902,0.7927,0.7128,1.0
156,,0.79738,0.7935,0.7198,1.0
157,,0.7983,0.7908,0.713,1.0
158,,0.79676,0.7916,0.7086,1.0
159,,0.79698,0.7926,0.7185,1.0
160,,0.79756,0.7929,0.7161,1.0
161,,0.79804,0.7939,0.7212,1.0
162,,0.79968,0.7937,0.7157,1.0
163,,0.79904,0.7934,0.7168,1.0
164,,0.79922,0.7941,0.719,0.99998
165,,0.7993,0.7921,0.7221,1.0
166,,0.79834,0.7945,0.7185,1.0
167,,0.7986,0.7933,0.715,0.99998
168,,0.79904,0.7941,0.7226,1.0
169,,0.79838,0.7923,0.7253,1.0
170,,0.7991,0.7914,0.7156,1.0
171,,0.79986,0.7936,0.7104,1.0
172,,0.79808,0.792,0.7147,1.0
173,,0.80022,0.7929,0.7175,1.0
174,,0.79944,0.7925,0.7174,1.0
175,,0.79892,0.7928,0.7132,1.0
176,,0.79804,0.7924,0.7152,1.0
177,,0.79896,0.792,0.7162,1.0
178,,0.7997,0.7938,0.7183,1.0
179,,0.80012,0.7939,0.7142,1.0
180,,0.79738,0.7923,0.7139,1.0
181,,0.79998,0.7936,0.7188,1.0
182,,0.79874,0.7935,0.7178,0.99998
183,,0.79776,0.7924,0.7133,0.99998
184,,0.79894,0.7928,0.7181,1.0
185,,0.79998,0.7923,0.7203,1.0
186,,0.79908,0.7924,0.7174,0.99998
187,,0.79888,0.7934,0.7174,1.0
188,,0.79922,0.7915,0.7179,1.0
189,,0.79952,0.7938,0.7162,1.0
190,,0.79896,0.793,0.7207,1.0
191,,0.79968,0.7929,0.718,1.0
192,,0.7986,0.7928,0.7165,1.0
193,,0.79962,0.7926,0.7187,1.0
194,,0.80024,0.7931,0.7228,1.0
195,,0.79832,0.7929,0.7234,1.0
196,,0.80024,0.7922,0.7182,1.0
197,,0.79954,0.7919,0.7121,1.0
198,,0.8006,0.7921,0.7168,1.0
199,,0.79846,0.7942,0.7224,1.0
