time,202511141253_probe
dataset,cifar10
model,C4resnet18
batch_size,128
epochs,200
learning_rate,0.05
no_cuda,False
seed,2020
kernel,3
bias,False
reduction,2.0
groups,2
dropout,0.2
note,
train_aug,none
linear,False
head,mlp
""
epoch,train_loss,train_acc,test_acc,adv_acc,rot_acc
0,,0.65968,0.7155,0.649,
1,,0.73628,0.7394,0.6805,
2,,0.75358,0.7511,0.6804,
3,,0.76138,0.7602,0.6734,
4,,0.76896,0.7648,0.6896,
5,,0.7725,0.7739,0.7022,
6,,0.7741,0.7707,0.706,
7,,0.7782,0.7715,0.6861,
8,,0.77868,0.7711,0.6776,
9,,0.78102,0.7739,0.7114,
10,,0.78194,0.7864,0.7197,
11,,0.78266,0.7772,0.6884,
12,,0.78214,0.7629,0.6758,
13,,0.7847,0.7887,0.7133,
14,,0.78516,0.7761,0.6955,
15,,0.78592,0.7798,0.7095,
16,,0.78498,0.7707,0.6893,
17,,0.78656,0.7846,0.7046,
18,,0.78582,0.783,0.6987,
19,,0.78834,0.7852,0.7132,
20,,0.7866,0.7758,0.7166,
21,,0.78774,0.7797,0.6973,
22,,0.78606,0.775,0.6829,
23,,0.7896,0.7923,0.7006,
24,,0.78756,0.776,0.7104,
25,,0.79054,0.7785,0.6944,
26,,0.78818,0.7939,0.7175,
27,,0.78722,0.7865,0.6965,
28,,0.78808,0.7686,0.694,
29,,0.78972,0.7902,0.7042,
30,,0.7888,0.7708,0.6942,
31,,0.7895,0.7803,0.7046,
32,,0.78782,0.7826,0.7078,
33,,0.78864,0.768,0.708,
34,,0.78828,0.7864,0.7123,
35,,0.78892,0.7843,0.7041,
36,,0.78862,0.7818,0.6949,
37,,0.7888,0.7825,0.7115,
38,,0.78948,0.7885,0.7173,
39,,0.78916,0.7825,0.714,
40,,0.78876,0.7717,0.6847,
41,,0.78704,0.7869,0.6981,
42,,0.78754,0.7778,0.7021,
43,,0.78732,0.7902,0.7216,
44,,0.78892,0.7912,0.7067,
45,,0.7893,0.7855,0.7072,
46,,0.78938,0.7777,0.6933,
47,,0.78904,0.7711,0.6938,
48,,0.78638,0.7769,0.7074,
49,,0.7871,0.7864,0.706,
50,,0.7866,0.789,0.7097,
51,,0.78884,0.7793,0.6926,
52,,0.79008,0.7751,0.7233,
53,,0.78718,0.7576,0.6912,
54,,0.789,0.7805,0.7135,
55,,0.78778,0.76,0.7056,
56,,0.78862,0.7846,0.7136,
57,,0.78816,0.7732,0.6928,
58,,0.78984,0.7889,0.7108,
59,,0.78956,0.775,0.7119,
60,,0.80028,0.7952,0.722,
61,,0.80244,0.7916,0.7159,
62,,0.80226,0.7936,0.7269,
63,,0.80332,0.7962,0.7113,
64,,0.80294,0.796,0.707,
65,,0.80294,0.7978,0.7233,
66,,0.80366,0.7911,0.7169,
67,,0.80472,0.7937,0.7122,
68,,0.8031,0.7939,0.7186,
69,,0.8032,0.7912,0.7102,
70,,0.80348,0.7986,0.7173,
71,,0.80488,0.7909,0.696,
72,,0.80288,0.7896,0.725,
73,,0.8059,0.7983,0.7223,
74,,0.80214,0.7915,0.7124,
75,,0.8042,0.7914,0.7241,
76,,0.80422,0.7925,0.7209,
77,,0.8026,0.7941,0.71,
78,,0.80382,0.7937,0.7224,
